h3index,res,lat,lon,osmid
891f038744bffff,9,54.0875701,12.9065142,https://www.openstreetmap.org/way/889163048
891f038499bffff,9,54.0688982,13.1516956,https://www.openstreetmap.org/way/258916731
891f0386093ffff,9,54.1274824,13.0032039,https://www.openstreetmap.org/way/607656865
891f0148217ffff,9,54.1804002,13.1372961,https://www.openstreetmap.org/way/605726652
891f01482afffff,9,54.1791366,13.1442726,https://www.openstreetmap.org/way/605727510
891f03b148fffff,9,54.0679849,13.1976408,https://www.openstreetmap.org/way/565281455
891f03b1373ffff,9,54.0263933,13.2354386,https://www.openstreetmap.org/way/823184536
891f014d2cbffff,9,54.1535648,13.301136,https://www.openstreetmap.org/way/273445750
891f03bb6cbffff,9,53.967885,13.0243905,https://www.openstreetmap.org/way/239068532
891f014d66fffff,9,54.16161295,13.30104795,https://www.openstreetmap.org/relation/11727683
