h3index,res,lat,lon,osmid
891f03863afffff,9,54.105438,13.0407698,https://www.openstreetmap.org/way/141079951
891f03863b7ffff,9,54.1109206,13.0401768,https://www.openstreetmap.org/node/2918287020
891f038633bffff,9,54.1025516,13.0367678,https://www.openstreetmap.org/node/2002306467
891f0386383ffff,9,54.1100438,13.0237626,https://www.openstreetmap.org/node/1994142264
891f0386397ffff,9,54.1136275,13.0291223,https://www.openstreetmap.org/way/188481130
891f03863b3ffff,9,54.1113072,13.0340463,https://www.openstreetmap.org/way/188211102
891f03863a3ffff,9,54.1072115,13.0398493,https://www.openstreetmap.org/way/303972857
891f03863a3ffff,9,54.1074204,13.0400794,https://www.openstreetmap.org/way/303978173
891f038763bffff,9,54.0767189,12.9137349,https://www.openstreetmap.org/way/868753060
891f0387637ffff,9,54.0801405,12.9177945,https://www.openstreetmap.org/way/182163330
891f0387607ffff,9,54.0783474,12.9096645,https://www.openstreetmap.org/way/203571590
891f03b0607ffff,9,54.0836247,13.2544657,https://www.openstreetmap.org/way/309360154
891f03b0c8bffff,9,54.0934725,13.3536909,https://www.openstreetmap.org/way/504746601
