h3index,res,lat,lon,osmid
891f0386303ffff,9,54.1024026,13.0286641,https://www.openstreetmap.org/way/188211115
891f0386337ffff,9,54.1039829,13.0433347,https://www.openstreetmap.org/way/141079840
891f0386323ffff,9,54.1026869,13.0442443,https://www.openstreetmap.org/way/188050510
891f0386397ffff,9,54.1142227,13.0287036,https://www.openstreetmap.org/way/188211116
891f038616fffff,9,54.1116463,13.0509293,https://www.openstreetmap.org/way/187991940
891f03b0eafffff,9,54.0761966,13.3522506,https://www.openstreetmap.org/way/794188563
891f03b0c13ffff,9,54.0922499,13.357132,https://www.openstreetmap.org/way/334248772
891f03b8413ffff,9,53.9777093,13.144377,https://www.openstreetmap.org/way/74685161
891f03b841bffff,9,53.9771957,13.1448117,https://www.openstreetmap.org/way/74685167
891f0386323ffff,9,54.1009104,13.0426507,https://www.openstreetmap.org/way/303347839
891f0386397ffff,9,54.1139992,13.0288639,https://www.openstreetmap.org/way/383816795
891f038617bffff,9,54.1139265,13.0466606,https://www.openstreetmap.org/way/456981706
891f0384907ffff,9,54.0605203,13.164322,https://www.openstreetmap.org/way/384599437
891f03b0c13ffff,9,54.0922546,13.3574194,https://www.openstreetmap.org/way/914802014
891f03b84cfffff,9,53.9754931,13.1364846,https://www.openstreetmap.org/way/243073151
891f03863afffff,9,54.1065238,13.0420424,https://www.openstreetmap.org/node/1999281926
891f0384907ffff,9,54.0610618,13.1630483,https://www.openstreetmap.org/way/379722024
891f03b0657ffff,9,54.0814251,13.2406132,https://www.openstreetmap.org/way/365097263
