h3index,res,lat,lon,osmid
891f02aa09bffff,9,53.7845279,11.5131616,https://www.openstreetmap.org/way/93574715
891f0285d83ffff,9,53.9191563,11.3047171,https://www.openstreetmap.org/way/340443474
891f02ba4abffff,9,53.9039191,11.3692744,https://www.openstreetmap.org/way/325889009
891f02b126fffff,9,53.8966788,11.442984,https://www.openstreetmap.org/way/327812510
891f02a262fffff,9,53.8986824,11.6144133,https://www.openstreetmap.org/way/361425341
891f02a01d7ffff,9,53.8635294,11.6814977,https://www.openstreetmap.org/way/231139197
891f0049b67ffff,9,53.999306,11.4332252,https://www.openstreetmap.org/way/305879178
891f02b2e5bffff,9,53.9938521,11.5385579,https://www.openstreetmap.org/way/240053301
891f028cdb3ffff,9,53.8336058,11.2734382,https://www.openstreetmap.org/way/276078432
891f02aa643ffff,9,53.7705988,11.4778736,https://www.openstreetmap.org/way/430048102
891f02aa617ffff,9,53.777486,11.4891136,https://www.openstreetmap.org/node/1317435041
891f02aa207ffff,9,53.7601921,11.5091969,https://www.openstreetmap.org/node/1396564714
891f02b8a63ffff,9,53.8025303,11.486054,https://www.openstreetmap.org/way/271739260
891f02bb3c7ffff,9,53.8338582,11.3272458,https://www.openstreetmap.org/way/443807532
891f02859d7ffff,9,53.9016338,11.3198031,https://www.openstreetmap.org/way/318050133
891f0285db3ffff,9,53.921789,11.3173359,https://www.openstreetmap.org/way/340450383
891f0284c43ffff,9,53.9437516,11.3310404,https://www.openstreetmap.org/way/320898873
891f02b8cc3ffff,9,53.8441125,11.4662536,https://www.openstreetmap.org/node/8879371775
891f02b8ccfffff,9,53.8418456,11.4685468,https://www.openstreetmap.org/way/262641382
891f02b8ccfffff,9,53.8421604,11.4693706,https://www.openstreetmap.org/node/8879371773
891f02bac87ffff,9,53.8989586,11.4580574,https://www.openstreetmap.org/way/63691530
891f02bac17ffff,9,53.8948093,11.4592908,https://www.openstreetmap.org/way/390481483
891f02b1dcbffff,9,53.931002,11.5452752,https://www.openstreetmap.org/way/453818236
891f02b0e57ffff,9,53.9484738,11.5672166,https://www.openstreetmap.org/way/615376033
891f02b198fffff,9,53.9214742,11.5781056,https://www.openstreetmap.org/way/399024510
891f02a205bffff,9,53.899185,11.6179481,https://www.openstreetmap.org/way/666249905
891f02a240fffff,9,53.9180438,11.6172,https://www.openstreetmap.org/way/498018426
891f02b340fffff,9,53.9863761,11.4091804,https://www.openstreetmap.org/way/566218285
891f02b35c7ffff,9,53.9937702,11.4375187,https://www.openstreetmap.org/way/455158556
891f02b09d3ffff,9,53.9601851,11.6329024,https://www.openstreetmap.org/way/512663024
891f028cdb7ffff,9,53.8330461,11.2739616,https://www.openstreetmap.org/way/487193479
891f0285eb3ffff,9,53.9005469,11.264507,https://www.openstreetmap.org/way/401849274
