h3index,res,lat,lon,osmid
891f02842a7ffff,9,53.9306596,11.2682608,https://www.openstreetmap.org/way/925358001
891f02aa08bffff,9,53.7832027,11.5159988,https://www.openstreetmap.org/way/93575443
891f0284e93ffff,9,53.9413408,11.3162974,https://www.openstreetmap.org/node/8598959093
891f02baa7bffff,9,53.8505616,11.4576829,https://www.openstreetmap.org/way/569535883
891f02bac33ffff,9,53.8920991,11.4656068,https://www.openstreetmap.org/node/6366883294
891f02bac37ffff,9,53.8925016,11.4696693,https://www.openstreetmap.org/node/386110984
891f02b136fffff,9,53.900431,11.4750086,https://www.openstreetmap.org/node/4340535516
891f02a019bffff,9,53.8644962,11.6864223,https://www.openstreetmap.org/way/396723947
891f02869b3ffff,9,53.9943752,11.3772876,https://www.openstreetmap.org/way/305457946
891f02b358bffff,9,53.995145,11.440556,https://www.openstreetmap.org/node/5014405138
891f02b358bffff,9,53.9956018,11.4410416,https://www.openstreetmap.org/node/6688164286
