h3index,res,lat,lon,osmid
891f0284c0fffff,9,53.9474171,11.3450126,https://www.openstreetmap.org/way/758251761
891f02b358bffff,9,53.9960695,11.4382656,https://www.openstreetmap.org/node/278347762
891f02b06abffff,9,53.9628826,11.4888297,https://www.openstreetmap.org/way/837980891
891f02843c3ffff,9,53.9293314,11.2755009,https://www.openstreetmap.org/way/702317155
891f0284c0fffff,9,53.9474702,11.3454593,https://www.openstreetmap.org/node/8600390580
891f02bacafffff,9,53.8955219,11.4667371,https://www.openstreetmap.org/way/253760324
891f02b3583ffff,9,53.9972767,11.4401505,https://www.openstreetmap.org/node/6688164310
891f02843dbffff,9,53.9302364,11.2709736,https://www.openstreetmap.org/way/136516551
891f02843dbffff,9,53.9297382,11.2702374,https://www.openstreetmap.org/way/136516553
891f02aa653ffff,9,53.7727571,11.4723879,https://www.openstreetmap.org/way/429245305
891f02bb433ffff,9,53.8618514,11.305755,https://www.openstreetmap.org/way/221260681
891f0285db7ffff,9,53.9217805,11.3181052,https://www.openstreetmap.org/way/340450372
891f0284e07ffff,9,53.9307413,11.3301127,https://www.openstreetmap.org/way/441834798
891f0284823ffff,9,53.9336069,11.3727312,https://www.openstreetmap.org/way/338308777
891f0284837ffff,9,53.9346314,11.3737254,https://www.openstreetmap.org/way/338308808
891f0284c0fffff,9,53.9475391,11.3452074,https://www.openstreetmap.org/node/6762611374
891f02b8cd3ffff,9,53.8464018,11.4617712,https://www.openstreetmap.org/way/262350643
891f02baea3ffff,9,53.8779778,11.4483711,https://www.openstreetmap.org/way/329956664
891f02bacabffff,9,53.8943017,11.4601392,https://www.openstreetmap.org/node/954371004
891f02bac37ffff,9,53.892047,11.4701109,https://www.openstreetmap.org/node/4333074178
891f02bac33ffff,9,53.8924622,11.4678856,https://www.openstreetmap.org/node/5411253922
891f02869bbffff,9,53.9917279,11.3764359,https://www.openstreetmap.org/node/532344938
891f02b340bffff,9,53.9865921,11.4085061,https://www.openstreetmap.org/way/566218289
891f02869b3ffff,9,53.9928037,11.3775067,https://www.openstreetmap.org/way/486230787
891f02b358fffff,9,53.9956395,11.4417081,https://www.openstreetmap.org/way/305737124
891f02b358fffff,9,53.9954242,11.4419459,https://www.openstreetmap.org/node/4430903150
891f02bac8fffff,9,53.8964459,11.4543372,https://www.openstreetmap.org/way/322473556
891f02b8c57ffff,9,53.8400462,11.4706794,https://www.openstreetmap.org/node/8866791327
891f02bacafffff,9,53.8942954,11.4670787,https://www.openstreetmap.org/node/3265238000
891f02b13d7ffff,9,53.9137326,11.4613543,https://www.openstreetmap.org/way/374243413
891f02b1acbffff,9,53.8955164,11.5106677,https://www.openstreetmap.org/way/242941097
891f02a02bbffff,9,53.8427814,11.646634,https://www.openstreetmap.org/way/297817213
