h3index,res,lat,lon,osmid
891f02b1e8bffff,9,53.9156622,11.5008005,https://www.openstreetmap.org/way/318967085
891f02b1e8bffff,9,53.9158829,11.5018418,https://www.openstreetmap.org/way/383577887
891f02b1e8bffff,9,53.9154753,11.4998094,https://www.openstreetmap.org/way/547465954
891f02b1e8bffff,9,53.9155219,11.5000535,https://www.openstreetmap.org/way/547465955
891f02b1e8bffff,9,53.9155669,11.5003043,https://www.openstreetmap.org/way/547465956
891f02b1e8bffff,9,53.9156167,11.5005591,https://www.openstreetmap.org/way/547465957
891f02b1e13ffff,9,53.9147606,11.5021304,https://www.openstreetmap.org/way/595165940
891f02b1e8bffff,9,53.9154701,11.5018599,https://www.openstreetmap.org/way/595165942
891f02b1e8bffff,9,53.9150545,11.5009323,https://www.openstreetmap.org/way/595165944
891f028e9d7ffff,9,53.8641236,11.2499695,https://www.openstreetmap.org/way/395596918
891f028e917ffff,9,53.8621645,11.2607314,https://www.openstreetmap.org/way/395596919
891f02b92b7ffff,9,53.7877747,11.3332633,https://www.openstreetmap.org/way/392033982
891f02b91d3ffff,9,53.803994,11.3613065,https://www.openstreetmap.org/way/296834699
891f02b9073ffff,9,53.7919625,11.3397552,https://www.openstreetmap.org/way/392033980
891f02b907bffff,9,53.7908758,11.3380865,https://www.openstreetmap.org/way/392033981
891f02b9073ffff,9,53.7929516,11.3412974,https://www.openstreetmap.org/way/882173339
891f02b919bffff,9,53.8071627,11.365195,https://www.openstreetmap.org/way/392033978
891f02b91dbffff,9,53.8015656,11.3580136,https://www.openstreetmap.org/way/882173336
891f02b91dbffff,9,53.8015656,11.3580136,https://www.openstreetmap.org/way/882173337
891f02b9077ffff,9,53.7944715,11.3441175,https://www.openstreetmap.org/way/882173340
891f02b9a6bffff,9,53.7593542,11.4168337,https://www.openstreetmap.org/way/238282992
891f02b9887ffff,9,53.7959696,11.4335786,https://www.openstreetmap.org/way/393627335
891f02b9d53ffff,9,53.8017682,11.4340902,https://www.openstreetmap.org/way/587926598
891f02bb40fffff,9,53.8612683,11.2985226,https://www.openstreetmap.org/way/296833991
891f02bb433ffff,9,53.8617716,11.3058817,https://www.openstreetmap.org/way/321539687
891f02bb5cfffff,9,53.8645529,11.3224692,https://www.openstreetmap.org/way/321539688
891f02bb5cbffff,9,53.8639138,11.3141344,https://www.openstreetmap.org/way/321539689
891f02bb5cfffff,9,53.8647794,11.3235958,https://www.openstreetmap.org/way/877683730
891f02bb51bffff,9,53.8656898,11.3276786,https://www.openstreetmap.org/way/321539690
891f02bb513ffff,9,53.8664298,11.3315358,https://www.openstreetmap.org/way/877683729
891f02b8093ffff,9,53.8453366,11.4031616,https://www.openstreetmap.org/way/338042399
891f02b80d7ffff,9,53.8402288,11.3986452,https://www.openstreetmap.org/way/338042400
891f02b8053ffff,9,53.8325997,11.3961817,https://www.openstreetmap.org/way/338042397
891f02b8297ffff,9,53.8286858,11.3915126,https://www.openstreetmap.org/way/882173333
891f02b8297ffff,9,53.8278659,11.3904397,https://www.openstreetmap.org/way/882173334
891f02ba5cbffff,9,53.9036853,11.3855467,https://www.openstreetmap.org/way/315967085
891f02ba5cfffff,9,53.9033985,11.3876686,https://www.openstreetmap.org/way/315967088
891f02ba437ffff,9,53.9033713,11.3789452,https://www.openstreetmap.org/way/315967082
891f02ba437ffff,9,53.9035414,11.3793252,https://www.openstreetmap.org/way/315967084
891f02ba5cbffff,9,53.9038607,11.3840288,https://www.openstreetmap.org/way/315967090
891f02ba50bffff,9,53.9005892,11.3968976,https://www.openstreetmap.org/way/315976215
891f02ba50bffff,9,53.9011658,11.3959398,https://www.openstreetmap.org/way/315976217
891f02ba50bffff,9,53.9006878,11.3965682,https://www.openstreetmap.org/way/315976218
891f02ba50bffff,9,53.9009441,11.3964602,https://www.openstreetmap.org/way/315976221
891f02b850bffff,9,53.8533365,11.4194678,https://www.openstreetmap.org/way/321349790
891f02b8543ffff,9,53.8484776,11.4116023,https://www.openstreetmap.org/way/321349792
891f02b854bffff,9,53.8472805,11.4093717,https://www.openstreetmap.org/way/338042398
891f02baa47ffff,9,53.8529049,11.4556362,https://www.openstreetmap.org/way/261101097
891f02b8e8bffff,9,53.8285804,11.4559265,https://www.openstreetmap.org/way/393565779
891f02b8cdbffff,9,53.8440995,11.4598756,https://www.openstreetmap.org/way/261101096
891f02b8507ffff,9,53.8553276,11.4291372,https://www.openstreetmap.org/way/750724789
891f02bae6bffff,9,53.8638267,11.4419596,https://www.openstreetmap.org/way/322698084
891f02bae6bffff,9,53.8634679,11.4415015,https://www.openstreetmap.org/way/687172327
891f02b85a7ffff,9,53.8613083,11.4394157,https://www.openstreetmap.org/way/314231666
891f02b85a7ffff,9,53.8604604,11.4386101,https://www.openstreetmap.org/way/322698085
891f02b8533ffff,9,53.8560391,11.4339107,https://www.openstreetmap.org/way/339319096
891f02b8533ffff,9,53.8552202,11.4333105,https://www.openstreetmap.org/way/339319097
891f02bae6bffff,9,53.8634131,11.4414365,https://www.openstreetmap.org/way/687170451
891f02b8533ffff,9,53.8554213,11.4335886,https://www.openstreetmap.org/way/882173332
891f02bae2bffff,9,53.8704716,11.4499959,https://www.openstreetmap.org/way/858740036
891f02bae3bffff,9,53.8707158,11.4495828,https://www.openstreetmap.org/way/858740037
