h3index,res,lat,lon,osmid
891f1a6a34fffff,9,50.6644388,12.329812,https://www.openstreetmap.org/way/683008448
891f1a6a637ffff,9,50.6857313,12.2973188,https://www.openstreetmap.org/way/650420344
891f1a6a3cbffff,9,50.671504,12.3188224,https://www.openstreetmap.org/way/431208612
891f1a78dd3ffff,9,50.7629312,12.2960308,https://www.openstreetmap.org/way/133113541
891f1a68887ffff,9,50.6318448,12.4256289,https://www.openstreetmap.org/way/313395209
891f1a68d4bffff,9,50.6343295,12.4303959,https://www.openstreetmap.org/way/313395403
891f1a68d4bffff,9,50.6348847,12.4300637,https://www.openstreetmap.org/way/625337064
891f1a68d43ffff,9,50.6371184,12.4320161,https://www.openstreetmap.org/way/313399199
891f1a6ae5bffff,9,50.6691705,12.3563038,https://www.openstreetmap.org/relation/10915791
891f1a6a12fffff,9,50.6855895,12.3655312,https://www.openstreetmap.org/relation/12199266
891f1a6a8cfffff,9,50.6756516,12.3923637,https://www.openstreetmap.org/way/138587656
891f1a6a8cfffff,9,50.6752436,12.3955402,https://www.openstreetmap.org/way/744446415
891f1a6a83bffff,9,50.675357,12.4096952,https://www.openstreetmap.org/way/609194826
891f1a6125bffff,9,50.7024314,12.3526837,https://www.openstreetmap.org/way/410654392
891f1a6adc7ffff,9,50.6983069,12.41026,https://www.openstreetmap.org/way/412990072
891f1a6121bffff,9,50.7086044,12.3632624,https://www.openstreetmap.org/way/410654387
891f1a6120bffff,9,50.7075711,12.3649139,https://www.openstreetmap.org/way/410618361
891f1a61287ffff,9,50.7173889,12.3681602,https://www.openstreetmap.org/way/295388714
891f1a6104bffff,9,50.7185563,12.3703244,https://www.openstreetmap.org/way/693941500
891f1a61297ffff,9,50.7203394,12.3660001,https://www.openstreetmap.org/way/835297486
891f1a612b3ffff,9,50.7176122,12.3752333,https://www.openstreetmap.org/way/693941502
891f1a6104fffff,9,50.7206773,12.3757017,https://www.openstreetmap.org/way/612035833
891f1a612b7ffff,9,50.7183156,12.3779827,https://www.openstreetmap.org/way/693941490
891f1a61043ffff,9,50.7212512,12.3733742,https://www.openstreetmap.org/way/693941495
891f1a6f69bffff,9,50.6687897,12.4502885,https://www.openstreetmap.org/way/201245433
891f1a61a27ffff,9,50.6969368,12.4735755,https://www.openstreetmap.org/way/355132656
891f1a61b57ffff,9,50.6981226,12.480332,https://www.openstreetmap.org/way/464689137
891f1a61b1bffff,9,50.7005335,12.4815142,https://www.openstreetmap.org/way/369437265
891f1a61ea3ffff,9,50.7206668,12.4460298,https://www.openstreetmap.org/way/612037861
891f1a61ccfffff,9,50.7315176,12.4434288,https://www.openstreetmap.org/way/567742338
891f1a618cbffff,9,50.7157281,12.4529232,https://www.openstreetmap.org/way/506514257
891f1a61bd3ffff,9,50.7033086,12.472374,https://www.openstreetmap.org/way/462207879
891f1a61bd7ffff,9,50.7037561,12.476274,https://www.openstreetmap.org/way/350197385
891f1a6186bffff,9,50.7067348,12.4706067,https://www.openstreetmap.org/way/462207893
891f1a61b93ffff,9,50.7087296,12.4820029,https://www.openstreetmap.org/way/415220862
891f1a61873ffff,9,50.71205,12.4677174,https://www.openstreetmap.org/way/461734530
891f1a6182bffff,9,50.7125547,12.4810187,https://www.openstreetmap.org/way/415350445
891f1a61b93ffff,9,50.7102372,12.4803332,https://www.openstreetmap.org/way/420293729
891f1a61877ffff,9,50.7124668,12.4752363,https://www.openstreetmap.org/way/464205151
891f1a61b93ffff,9,50.7101392,12.481445,https://www.openstreetmap.org/way/464211128
891f1a6183bffff,9,50.713941,12.4796495,https://www.openstreetmap.org/way/561068599
891f1a61887ffff,9,50.7247541,12.4693325,https://www.openstreetmap.org/way/356045567
891f1a61817ffff,9,50.71855,12.4729073,https://www.openstreetmap.org/way/356257102
891f1a61887ffff,9,50.724607,12.4721554,https://www.openstreetmap.org/way/356049771
891f1a618abffff,9,50.7190147,12.4772711,https://www.openstreetmap.org/way/356257186
891f1a61d5bffff,9,50.7292459,12.470088,https://www.openstreetmap.org/way/356036813
891f1a618a3ffff,9,50.7233647,12.4803254,https://www.openstreetmap.org/way/356053808
891f1a61d4fffff,9,50.7285241,12.4776123,https://www.openstreetmap.org/way/356006488
891f1a6d3a7ffff,9,50.6020975,12.5453397,https://www.openstreetmap.org/way/238986580
891f1a6d557ffff,9,50.6285203,12.5190899,https://www.openstreetmap.org/way/696174702
891f1a6d503ffff,9,50.6323994,12.5274048,https://www.openstreetmap.org/way/575358554
891f1a6f30fffff,9,50.645829,12.5129203,https://www.openstreetmap.org/way/661163162
