h3index,res,lat,lon,osmid
891f1a6a217ffff,9,50.6720393,12.3037931,https://www.openstreetmap.org/way/240484245
891f1a6a3b7ffff,9,50.6808847,12.3473217,https://www.openstreetmap.org/way/368701018
891f1a788b3ffff,9,50.7477402,12.3015265,https://www.openstreetmap.org/way/465627869
891f1a78d7bffff,9,50.7508862,12.3081561,https://www.openstreetmap.org/way/281249271
891f1a78d23ffff,9,50.7560452,12.3223897,https://www.openstreetmap.org/way/465818883
891f1a63653ffff,9,50.7742553,12.3133835,https://www.openstreetmap.org/way/300638264
891f1a63633ffff,9,50.7790615,12.3347756,https://www.openstreetmap.org/way/465858740
891f1a6d327ffff,9,50.5944603,12.5484177,https://www.openstreetmap.org/way/238535831
891f1a68513ffff,9,50.6569787,12.3528896,https://www.openstreetmap.org/way/228182168
891f1a68aa7ffff,9,50.6125576,12.4262349,https://www.openstreetmap.org/way/197203510
891f1a68d83ffff,9,50.6519487,12.4390648,https://www.openstreetmap.org/way/281251614
891f1a6a80bffff,9,50.6742477,12.4016812,https://www.openstreetmap.org/way/281254063
891f1a610c7ffff,9,50.7295714,12.3729321,https://www.openstreetmap.org/way/281248181
891f1a6146bffff,9,50.7331882,12.3648193,https://www.openstreetmap.org/way/355760455
891f1a61313ffff,9,50.7141759,12.3970757,https://www.openstreetmap.org/way/263901505
891f1a6103bffff,9,50.7264813,12.3904243,https://www.openstreetmap.org/way/425985183
891f1a6a94fffff,9,50.6697755,12.4314984,https://www.openstreetmap.org/way/212366518
891f1a6f40fffff,9,50.6800734,12.4766088,https://www.openstreetmap.org/way/279104955
891f1a6f48fffff,9,50.6862673,12.4721932,https://www.openstreetmap.org/way/463525884
891f1a6f48fffff,9,50.6860089,12.4744573,https://www.openstreetmap.org/way/463525882
891f1a6f487ffff,9,50.6894157,12.4731141,https://www.openstreetmap.org/way/565548962
891f1a61a23ffff,9,50.6966414,12.4685951,https://www.openstreetmap.org/way/284581642
891f1a618a3ffff,9,50.7213542,12.4771364,https://www.openstreetmap.org/node/4786795073
891f1a6d0a7ffff,9,50.6204406,12.527606,https://www.openstreetmap.org/way/281253468
891f1a6d0b7ffff,9,50.621503,12.5260216,https://www.openstreetmap.org/way/527357879
891f1a6d57bffff,9,50.6235446,12.5244443,https://www.openstreetmap.org/way/744172104
891f1a6d193ffff,9,50.625497,12.5407199,https://www.openstreetmap.org/way/556249096
891f1a6d497ffff,9,50.6390114,12.4956373,https://www.openstreetmap.org/way/656369088
891f1a6f38fffff,9,50.6532575,12.5093231,https://www.openstreetmap.org/way/257227194
891f1a6c08bffff,9,50.657314,12.5730112,https://www.openstreetmap.org/way/256175960
891f1a6c193ffff,9,50.6648792,12.6072893,https://www.openstreetmap.org/way/473193781
891f1a6f55bffff,9,50.678551,12.492911,https://www.openstreetmap.org/way/301610970
891f1a6f56fffff,9,50.6734691,12.511242,https://www.openstreetmap.org/way/234286439
891f1a6f1d3ffff,9,50.6714363,12.5097303,https://www.openstreetmap.org/way/235450731
891f1a6f56fffff,9,50.6730917,12.5130576,https://www.openstreetmap.org/way/234298342
891f1a61b2bffff,9,50.6965327,12.4978818,https://www.openstreetmap.org/way/301610444
891f1a61b37ffff,9,50.7004716,12.503962,https://www.openstreetmap.org/way/297049538
891f1a6e653ffff,9,50.6991242,12.5084321,https://www.openstreetmap.org/way/296350899
891f1a6f187ffff,9,50.6745558,12.5273119,https://www.openstreetmap.org/way/484572941
891f1a6e24bffff,9,50.6770568,12.5311722,https://www.openstreetmap.org/way/296382746
891f1a61b33ffff,9,50.7018439,12.4973775,https://www.openstreetmap.org/way/301610691
891f1a61b33ffff,9,50.7019868,12.4970586,https://www.openstreetmap.org/way/301610692
891f1a618afffff,9,50.7191317,12.4837648,https://www.openstreetmap.org/way/304259681
891f1a61d6fffff,9,50.7253709,12.4910201,https://www.openstreetmap.org/way/219026071
891f1a6e6afffff,9,50.7051923,12.5366702,https://www.openstreetmap.org/way/281250868
891f1a6e4d3ffff,9,50.726049,12.525453,https://www.openstreetmap.org/way/555264507
891f1a6e34bffff,9,50.6805421,12.5653269,https://www.openstreetmap.org/way/424878990
891f1a6eadbffff,9,50.6748978,12.6089254,https://www.openstreetmap.org/way/355796013
891f1a6e5a3ffff,9,50.7286164,12.5819954,https://www.openstreetmap.org/way/361848199
891f1a6564bffff,9,50.7334345,12.5789133,https://www.openstreetmap.org/way/238793478
891f1a6e1b7ffff,9,50.7147166,12.6031153,https://www.openstreetmap.org/way/576893690
891f1a65243ffff,9,50.7191913,12.5971027,https://www.openstreetmap.org/way/348326281
891f1a6ce03ffff,9,50.6384605,12.6303846,https://www.openstreetmap.org/way/556266645
891f1a6cdd7ffff,9,50.6630538,12.6711709,https://www.openstreetmap.org/way/153311945
891f1a6eb5bffff,9,50.6702339,12.6486591,https://www.openstreetmap.org/way/294681640
891f1a6cd8fffff,9,50.6643959,12.6811934,https://www.openstreetmap.org/way/331346929
891f1a6ec43ffff,9,50.703671,12.6169087,https://www.openstreetmap.org/way/361846016
891f1a6ec57ffff,9,50.7066178,12.6184105,https://www.openstreetmap.org/way/388129348
891f1a65303ffff,9,50.7272578,12.6402838,https://www.openstreetmap.org/way/473997174
891f1a61093ffff,9,50.7376408,12.3770612,https://www.openstreetmap.org/way/355759559
891f1a6350fffff,9,50.7964086,12.3786584,https://www.openstreetmap.org/way/208623550
891f1a63163ffff,9,50.7754058,12.3958545,https://www.openstreetmap.org/way/571906378
891f1a6052bffff,9,50.7814714,12.4736226,https://www.openstreetmap.org/way/301611506
891f1a71b77ffff,9,50.8108015,12.3626968,https://www.openstreetmap.org/way/413391888
891f1a6264fffff,9,50.8089255,12.3847872,https://www.openstreetmap.org/way/300635857
891f1a6261bffff,9,50.8169743,12.3876743,https://www.openstreetmap.org/way/54209546
891f1a62607ffff,9,50.8177158,12.3968924,https://www.openstreetmap.org/way/570445221
891f1a6269bffff,9,50.8249745,12.3848126,https://www.openstreetmap.org/way/300635856
891f1a62237ffff,9,50.802596,12.4272327,https://www.openstreetmap.org/way/300638258
891f1a6201bffff,9,50.8193133,12.4218098,https://www.openstreetmap.org/way/300638257
891f1a62163ffff,9,50.8145336,12.462058,https://www.openstreetmap.org/way/300625294
891f1a62427ffff,9,50.8356002,12.4257017,https://www.openstreetmap.org/way/511562714
891f1a75667ffff,9,50.8509706,12.4638468,https://www.openstreetmap.org/way/331368100
891f1a75293ffff,9,50.8504248,12.4687646,https://www.openstreetmap.org/way/352948423
891f1a60e13ffff,9,50.7573604,12.4969273,https://www.openstreetmap.org/way/565911204
891f1a6016fffff,9,50.7605711,12.4864115,https://www.openstreetmap.org/way/301611441
891f1a60163ffff,9,50.762088,12.4856502,https://www.openstreetmap.org/way/361223822
891f1a60a33ffff,9,50.7376658,12.529176,https://www.openstreetmap.org/way/331368099
891f1a60d43ffff,9,50.7686292,12.543396,https://www.openstreetmap.org/way/300638262
891f1a60d4fffff,9,50.7685654,12.5436164,https://www.openstreetmap.org/way/612997181
891f1a60d47ffff,9,50.7684257,12.546968,https://www.openstreetmap.org/way/332592984
891f1a6286fffff,9,50.7990964,12.5186478,https://www.openstreetmap.org/way/204363005
891f1a6286fffff,9,50.7993079,12.5187168,https://www.openstreetmap.org/way/369285719
891f1a609cfffff,9,50.7593334,12.5602383,https://www.openstreetmap.org/way/556545712
891f1a628d7ffff,9,50.8126408,12.5017043,https://www.openstreetmap.org/way/301622207
891f1a62dd3ffff,9,50.8317717,12.513551,https://www.openstreetmap.org/way/258696298
891f1a7536bffff,9,50.8319647,12.5126101,https://www.openstreetmap.org/way/512397327
891f1a62d6fffff,9,50.8179026,12.5358562,https://www.openstreetmap.org/way/239721350
891f1a629c7ffff,9,50.8116203,12.5411813,https://www.openstreetmap.org/way/233833000
891f1a62d2bffff,9,50.8211485,12.5386539,https://www.openstreetmap.org/way/268976754
891f1a62d3bffff,9,50.8238702,12.5359695,https://www.openstreetmap.org/way/265829290
891f1a62983ffff,9,50.8191324,12.5447691,https://www.openstreetmap.org/way/287554803
891f1a62db7ffff,9,50.834439,12.5422811,https://www.openstreetmap.org/way/514319132
891f1a62da7ffff,9,50.8341503,12.5442783,https://www.openstreetmap.org/way/510931585
891f1a75ec7ffff,9,50.8476668,12.5380451,https://www.openstreetmap.org/way/536071195
891f1a67447ffff,9,50.8078485,12.5771172,https://www.openstreetmap.org/way/41538898
891f1a674c7ffff,9,50.814789,12.5767352,https://www.openstreetmap.org/way/204665822
891f1a62987ffff,9,50.8183067,12.5496965,https://www.openstreetmap.org/way/231131566
891f1a650b3ffff,9,50.7535541,12.6297067,https://www.openstreetmap.org/way/313680879
891f1a6554fffff,9,50.7552025,12.6294383,https://www.openstreetmap.org/way/313693975
891f1a6557bffff,9,50.7551167,12.6356661,https://www.openstreetmap.org/way/313405154
891f1a6510bffff,9,50.7438672,12.6571184,https://www.openstreetmap.org/way/464329782
891f1a65127ffff,9,50.7460556,12.6738589,https://www.openstreetmap.org/way/407013196
891f1a6802bffff,9,50.6333615,12.3478869,https://www.openstreetmap.org/node/1880658869
891f1a6abd7ffff,9,50.663654,12.4143948,https://www.openstreetmap.org/node/8593019013
891f1a6abcbffff,9,50.6600572,12.4103781,https://www.openstreetmap.org/node/8593039353
891f1a688afffff,9,50.6278075,12.4400588,https://www.openstreetmap.org/way/361673397
891f1a68d83ffff,9,50.6502602,12.4372831,https://www.openstreetmap.org/way/211514878
891f1a6ab13ffff,9,50.6636414,12.4198076,https://www.openstreetmap.org/way/580269538
891f1a6ab13ffff,9,50.6622709,12.4183189,https://www.openstreetmap.org/node/8593039354
891f1a6a81bffff,9,50.6755149,12.3971771,https://www.openstreetmap.org/way/201924598
