h3index,res,lat,lon,osmid
891f1a6f56fffff,9,50.6748338,12.5117212,https://www.openstreetmap.org/node/1950961235
891f1a619d7ffff,9,50.7230054,12.4957683,https://www.openstreetmap.org/node/4804581165
891f1a61b83ffff,9,50.7076732,12.4849984,https://www.openstreetmap.org/way/268462860
891f1a620dbffff,9,50.8219985,12.4083854,https://www.openstreetmap.org/node/8624580726
891f1a75a73ffff,9,50.8250004,12.5621297,https://www.openstreetmap.org/relation/11653803
891f1a680d7ffff,9,50.6402463,12.3287017,https://www.openstreetmap.org/way/525057278
891f1a6f687ffff,9,50.6713537,12.460808,https://www.openstreetmap.org/way/303738967
891f1a61957ffff,9,50.7158192,12.497183,https://www.openstreetmap.org/node/3712352163
891f1a61ba7ffff,9,50.7060238,12.5009055,https://www.openstreetmap.org/way/236251202
891f1a61bb7ffff,9,50.7083331,12.501473,https://www.openstreetmap.org/way/236527076
891f1a619c3ffff,9,50.7201802,12.4901968,https://www.openstreetmap.org/node/3718660889
891f1a619d7ffff,9,50.724113,12.494244,https://www.openstreetmap.org/node/3723917777
891f1a6cd0bffff,9,50.6578031,12.6807146,https://www.openstreetmap.org/way/232303807
891f1a6032fffff,9,50.7472758,12.482227,https://www.openstreetmap.org/node/571834767
891f1a62657ffff,9,50.8153911,12.3865799,https://www.openstreetmap.org/way/926869066
891f1a62517ffff,9,50.8416954,12.4444607,https://www.openstreetmap.org/way/288215948
891f1a62517ffff,9,50.8405653,12.4464139,https://www.openstreetmap.org/way/813906314
891f1a61d97ffff,9,50.7459354,12.4846484,https://www.openstreetmap.org/way/331268003
891f1a6032fffff,9,50.74693,12.4836871,https://www.openstreetmap.org/node/8626252695
891f1a60d4fffff,9,50.7668387,12.546522,https://www.openstreetmap.org/way/549206372
891f1a62acfffff,9,50.7884816,12.4857426,https://www.openstreetmap.org/way/482033726
891f1a62d5bffff,9,50.8218148,12.5157167,https://www.openstreetmap.org/way/339211836
891f1a62d3bffff,9,50.8245778,12.5390786,https://www.openstreetmap.org/way/111530386
891f1a75e43ffff,9,50.8393635,12.5342462,https://www.openstreetmap.org/way/240396881
891f1a629bbffff,9,50.8164304,12.5513738,https://www.openstreetmap.org/node/1728136376
891f1a6554fffff,9,50.7546205,12.6330546,https://www.openstreetmap.org/node/1315105733
891f1a67377ffff,9,50.7746064,12.6249101,https://www.openstreetmap.org/way/338952318
891f1a61dabffff,9,50.7385991,12.4938432,https://www.openstreetmap.org/way/423462677
891f1a6f083ffff,9,50.6712268,12.4860968,https://www.openstreetmap.org/way/304837002
891f1a6e197ffff,9,50.717851,12.5916017,https://www.openstreetmap.org/way/286503217
