h3index,res,lat,lon,osmid
891f1a6a35bffff,9,50.6665432,12.3223633,https://www.openstreetmap.org/way/407638142
891f1a634bbffff,9,50.8013358,12.3477905,https://www.openstreetmap.org/way/286950580
891f1a685bbffff,9,50.661398,12.3569028,https://www.openstreetmap.org/way/368496851
891f1a689cbffff,9,50.6257946,12.4435008,https://www.openstreetmap.org/way/361673388
891f1a6162fffff,9,50.7217845,12.3641005,https://www.openstreetmap.org/way/778035340
891f1a61017ffff,9,50.730012,12.3860792,https://www.openstreetmap.org/way/627589979
891f1a6f4bbffff,9,50.6872185,12.4786127,https://www.openstreetmap.org/way/564227292
891f1a61a2fffff,9,50.6934062,12.4704636,https://www.openstreetmap.org/way/267256716
891f1a618dbffff,9,50.7182243,12.4499399,https://www.openstreetmap.org/way/239484598
891f1a61c6bffff,9,50.7221676,12.4503251,https://www.openstreetmap.org/way/463535538
891f1a61d57ffff,9,50.7335489,12.4786931,https://www.openstreetmap.org/way/541679176
891f1a6f1c3ffff,9,50.6692687,12.5144213,https://www.openstreetmap.org/way/310955101
891f1a6f18fffff,9,50.6724334,12.5243222,https://www.openstreetmap.org/way/355944780
891f1a6f18fffff,9,50.6724013,12.5244429,https://www.openstreetmap.org/way/755281069
891f1a6e277ffff,9,50.6825778,12.5460115,https://www.openstreetmap.org/way/319681392
891f1a6e04fffff,9,50.696099,12.5480885,https://www.openstreetmap.org/way/631762399
891f1a61b33ffff,9,50.701274,12.4966512,https://www.openstreetmap.org/way/464616426
891f1a6182fffff,9,50.7133305,12.4856688,https://www.openstreetmap.org/node/4968373081
891f1a619c7ffff,9,50.7202741,12.4978018,https://www.openstreetmap.org/way/886063245
891f1a61913ffff,9,50.7202821,12.5002559,https://www.openstreetmap.org/way/362563317
891f1a60a63ffff,9,50.7301349,12.5228882,https://www.openstreetmap.org/way/335732630
891f1a6e5b3ffff,9,50.7302841,12.5784921,https://www.openstreetmap.org/way/913912162
891f1a6ec43ffff,9,50.7027976,12.6163893,https://www.openstreetmap.org/way/388129396
891f1a65a87ffff,9,50.7220996,12.6967124,https://www.openstreetmap.org/way/747349960
891f1a63357ffff,9,50.7616501,12.3723643,https://www.openstreetmap.org/way/230789931
891f1a602cbffff,9,50.7484535,12.4155271,https://www.openstreetmap.org/node/5919274973
891f1a6265bffff,9,50.8102708,12.3787502,https://www.openstreetmap.org/way/843679072
891f1a62657ffff,9,50.8145997,12.3831072,https://www.openstreetmap.org/node/8639334538
891f1a62613ffff,9,50.8195604,12.3887566,https://www.openstreetmap.org/node/2157413787
891f1a62613ffff,9,50.8192934,12.3906492,https://www.openstreetmap.org/node/2157414375
891f1a71927ffff,9,50.8315397,12.3927007,https://www.openstreetmap.org/way/925354350
891f1a62537ffff,9,50.8399069,12.4546979,https://www.openstreetmap.org/way/352982272
891f1a75673ffff,9,50.8511986,12.4590915,https://www.openstreetmap.org/way/621174654
891f1a61d07ffff,9,50.7354058,12.492527,https://www.openstreetmap.org/way/837468470
891f1a608a3ffff,9,50.7628172,12.5440351,https://www.openstreetmap.org/way/413295139
891f1a62a53ffff,9,50.7862106,12.4839995,https://www.openstreetmap.org/way/507237160
891f1a62d23ffff,9,50.8246673,12.544335,https://www.openstreetmap.org/way/616080820
891f1a62917ffff,9,50.8121642,12.5515763,https://www.openstreetmap.org/way/529686481
891f1a62907ffff,9,50.811964665,12.551746819,https://www.openstreetmap.org/relation/7624594
891f1a75ac7ffff,9,50.8321332,12.5562535,https://www.openstreetmap.org/way/941926975
891f1a65087ffff,9,50.7509669,12.6245101,https://www.openstreetmap.org/way/315269085
891f1a67383ffff,9,50.7869325,12.6188266,https://www.openstreetmap.org/way/406654381
891f1a67387ffff,9,50.7870915,12.6215631,https://www.openstreetmap.org/way/360711333
891f1a6261bffff,9,50.8163613,12.3872878,https://www.openstreetmap.org/node/8603247595
891f1a6554fffff,9,50.7552308,12.6341258,https://www.openstreetmap.org/way/313410056
891f1a78d3bffff,9,50.7571252,12.3197251,https://www.openstreetmap.org/way/215636289
891f1a6d327ffff,9,50.5943585,12.5470122,https://www.openstreetmap.org/node/1248573991
891f1a68507ffff,9,50.6559725,12.3566429,https://www.openstreetmap.org/way/368579293
891f1a6120bffff,9,50.7075255,12.3666218,https://www.openstreetmap.org/way/471395758
891f1a6100fffff,9,50.7266816,12.3839109,https://www.openstreetmap.org/way/425985191
891f1a6a913ffff,9,50.6808502,12.4342711,https://www.openstreetmap.org/way/461366281
891f1a6ad3bffff,9,50.6939787,12.4251974,https://www.openstreetmap.org/way/483009823
891f1a6f48fffff,9,50.6862399,12.4721926,https://www.openstreetmap.org/way/463525876
891f1a61137ffff,9,50.7322484,12.432932,https://www.openstreetmap.org/node/5395965230
891f1a61c7bffff,9,50.7239376,12.4491889,https://www.openstreetmap.org/way/463541120
891f1a6189bffff,9,50.7229923,12.4606321,https://www.openstreetmap.org/way/356108107
