h3index,res,lat,lon,osmid
891f1a61e8bffff,9,50.7199128,12.4305469,https://www.openstreetmap.org/way/482837201
891f1a61e8bffff,9,50.7200906,12.4307097,https://www.openstreetmap.org/way/482837202
891f1a6550fffff,9,50.7622714,12.6410171,https://www.openstreetmap.org/way/211862062
891f1a680c3ffff,9,50.6369934,12.3247625,https://www.openstreetmap.org/way/949092728
891f1a6854bffff,9,50.646485,12.341769,https://www.openstreetmap.org/way/324230665
891f1a68097ffff,9,50.645578,12.3393104,https://www.openstreetmap.org/way/324230671
891f1a68097ffff,9,50.645578,12.3393104,https://www.openstreetmap.org/way/385642927
891f1a68087ffff,9,50.6453631,12.338975,https://www.openstreetmap.org/way/385642928
891f1a6854bffff,9,50.646485,12.341769,https://www.openstreetmap.org/way/385642929
891f1a6809bffff,9,50.642062,12.3304105,https://www.openstreetmap.org/way/385642943
891f1a680d7ffff,9,50.6403137,12.3281357,https://www.openstreetmap.org/way/944079449
891f1a680d7ffff,9,50.6403137,12.3281357,https://www.openstreetmap.org/way/949092727
891f1a680c3ffff,9,50.6391995,12.3270794,https://www.openstreetmap.org/way/493736891
891f1a7ab6bffff,9,50.7656599,12.2946122,https://www.openstreetmap.org/way/585529030
891f1a78d2bffff,9,50.7555588,12.3213491,https://www.openstreetmap.org/way/585529028
891f1a78d3bffff,9,50.7562505,12.3194044,https://www.openstreetmap.org/way/782189487
891f1a78d3bffff,9,50.7561011,12.3198138,https://www.openstreetmap.org/way/782189488
891f1a614dbffff,9,50.745636,12.3439811,https://www.openstreetmap.org/way/627275753
891f1a789a3ffff,9,50.7475311,12.3369558,https://www.openstreetmap.org/way/627275747
891f1a789bbffff,9,50.7487743,12.3334901,https://www.openstreetmap.org/way/627275752
891f1a78d2fffff,9,50.7549505,12.3244217,https://www.openstreetmap.org/way/627275750
891f1a7ab6fffff,9,50.7639653,12.2987444,https://www.openstreetmap.org/way/585529029
891f1a78d03ffff,9,50.7588654,12.3118377,https://www.openstreetmap.org/way/822645137
891f1a680b7ffff,9,50.6456118,12.3494629,https://www.openstreetmap.org/way/324230667
891f1a68567ffff,9,50.6481735,12.3616085,https://www.openstreetmap.org/way/324230669
891f1a6ae6bffff,9,50.6631649,12.3716272,https://www.openstreetmap.org/way/169181145
891f1a685a7ffff,9,50.6616811,12.3700696,https://www.openstreetmap.org/way/324230668
891f1a685a7ffff,9,50.662021,12.3703415,https://www.openstreetmap.org/way/324230672
891f1a68537ffff,9,50.6565093,12.3670092,https://www.openstreetmap.org/way/324230674
891f1a6ae6fffff,9,50.6641044,12.3732394,https://www.openstreetmap.org/way/324230666
891f1a6ae6fffff,9,50.6646326,12.3746424,https://www.openstreetmap.org/way/324230670
891f1a6aa93ffff,9,50.6667852,12.381954,https://www.openstreetmap.org/way/321690916
891f1a689abffff,9,50.6302643,12.4677336,https://www.openstreetmap.org/way/291639383
891f1a689abffff,9,50.6298764,12.468254,https://www.openstreetmap.org/way/639803795
891f1a68d0bffff,9,50.6400579,12.4402948,https://www.openstreetmap.org/way/320519632
891f1a68d63ffff,9,50.6363745,12.4445548,https://www.openstreetmap.org/way/9564666
891f1a68d63ffff,9,50.6366845,12.4440266,https://www.openstreetmap.org/way/191908091
891f1a68d73ffff,9,50.6389055,12.4415388,https://www.openstreetmap.org/way/197814898
891f1a68d63ffff,9,50.6374772,12.4430807,https://www.openstreetmap.org/way/197815659
