index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
0	located_on_h3_cell	891f1a6c44fffff	h3place	https://www.openstreetmap.org/way/439837321	osmplace	False		6.0	Environment_NEG_geological around (Aue) radius=15.0
1	located_on_h3_cell	891f1a6c44fffff	h3place	https://www.openstreetmap.org/way/753430398	osmplace	False		6.0	Transport_NEG_aeroway around (Aue) radius=15.0
2	located_on_h3_cell	https://www.openstreetmap.org/way/320420550	osmplace	891e349b45bffff	h3place	False		6.0	Transport_NEG_aeroway around (Aue) radius=15.0
3	located_on_h3_cell	https://www.openstreetmap.org/way/386667472	osmplace	891f1a6d893ffff	h3place	False		6.0	Transport_NEG_aeroway around (Aue) radius=15.0
4	located_on_h3_cell	https://www.openstreetmap.org/way/277167598	osmplace	891f1a6cbd7ffff	h3place	False		6.0	Environment_NEG_geological around (Aue) radius=15.0
5	located_on_h3_cell	891e34d44c3ffff	h3place	https://www.openstreetmap.org/way/762743602	osmplace	False		6.0	Transport_NEG_aeroway around (Aue) radius=15.0
6	located_on_h3_cell	https://www.openstreetmap.org/way/903552375	osmplace	891e34d4c37ffff	h3place	False		6.0	Transport_NEG_aeroway around (Aue) radius=15.0
7	located_on_h3_cell	https://www.openstreetmap.org/way/320420549	osmplace	891e349b45bffff	h3place	False		6.0	Transport_NEG_aeroway around (Aue) radius=15.0
8	hasOSMTag	891e34894a7ffff	h3place	primary	osmtag	False	2.0		Transport_NEG_aeroway around (Aue) radius=15.0
9	hasOSMTag	891e34d44c3ffff	h3place	primary	osmtag	False	2.0		Transport_NEG_aeroway around (Aue) radius=15.0
10	located_on_h3_cell	https://www.openstreetmap.org/way/362392620	osmplace	891e3499433ffff	h3place	False		6.0	Transport_NEG_aeroway around (Aue) radius=15.0
11	located_on_h3_cell	https://www.openstreetmap.org/way/361563792	osmplace	891e34d6a67ffff	h3place	False		6.0	Transport_NEG_aeroway around (Aue) radius=15.0
12	located_on_h3_cell	https://www.openstreetmap.org/way/868388018	osmplace	891e349a233ffff	h3place	False		6.0	Transport_NEG_aeroway around (Aue) radius=15.0
13	located_on_h3_cell	https://www.openstreetmap.org/way/362392614	osmplace	891e3499473ffff	h3place	False		6.0	Transport_NEG_aeroway around (Aue) radius=15.0
14	located_on_h3_cell	https://www.openstreetmap.org/way/693062833	osmplace	891e3499c67ffff	h3place	False		6.0	Transport_NEG_aeroway around (Aue) radius=15.0
15	located_on_h3_cell	https://www.openstreetmap.org/way/391298025	osmplace	891e34d540fffff	h3place	False		6.0	Environment_NEG_geological around (Aue) radius=15.0
16	located_on_h3_cell	https://www.openstreetmap.org/way/803463211	osmplace	891e349912fffff	h3place	False		6.0	Environment_NEG_geological around (Aue) radius=15.0
17	located_on_h3_cell	891e3498053ffff	h3place	https://www.openstreetmap.org/way/504877955	osmplace	False		6.0	Transport_NEG_aeroway around (Aue) radius=15.0
18	located_on_h3_cell	https://www.openstreetmap.org/way/319555810	osmplace	891e34980cfffff	h3place	False		6.0	Transport_NEG_aeroway around (Aue) radius=15.0
