index	Id	v_type	attributes.osmid	attributes.tagvalue	attributes.tagname	Lon	Lat	attributes.resolution	attributes.h3index	lat	lon
0	891e349b363ffff	h3place				12.75322	50.65734	9.0		50.657340855492755	12.753215828560316
1	891e349a6d7ffff	h3place				12.75279	50.72313	9.0		50.72312541948299	12.752792266959283
2	891e34894b7ffff	h3place				12.8761	50.53873	9.0		50.538732532636175	12.876096608977972
3	891e34d4c8fffff	h3place				12.77691	50.5474	9.0		50.54740293530742	12.776911336291562
4	891f1a6c993ffff	h3place				12.69437	50.6534	9.0		50.653401660771685	12.694366951369462
5	891e34d54abffff	h3place				12.63171	50.51736	9.0		50.51736458412627	12.631709372436154
6	891f1a6dc63ffff	h3place				12.58458	50.61051	9.0		50.610508715444944	12.584579911325335
7	891f1a6d16fffff	h3place				12.55296	50.60582	9.0		50.60581548602877	12.55295974643734
8	891f1a6d383ffff	h3place				12.52848	50.60414	9.0		50.604137545102155	12.528478497195511
9	891e34d7463ffff	h3place				12.60613	50.55875	9.0		50.55874757308059	12.606131223626248
10	891e34d54d7ffff	h3place				12.61438	50.51873	9.0		50.51872630042345	12.614377709880033
11	891e34d5a9bffff	h3place				12.70658	50.47419	9.0		50.474189490854975	12.70657966632588
12	891e349b5b7ffff	h3place				12.75893	50.70835	9.0		50.70835251888167	12.758931318221913
13	891e349840fffff	h3place				12.8029	50.68343	9.0		50.683431067590924	12.802896022408508
14	891e3498237ffff	h3place				12.8178	50.6515	9.0		50.65149869998287	12.817801759215646
15	891f1a6cd27ffff	h3place				12.69886	50.65877	9.0		50.65876796005526	12.698856632934456
16	891e348b1d3ffff	h3place				12.88084	50.57202	9.0		50.57201711205199	12.880844420486042
17	891f1a6c05bffff	h3place				12.56427	50.64712	9.0		50.64711800871001	12.564268022626687
18	891f1a6d073ffff	h3place				12.51337	50.60817	9.0		50.60816647892611	12.51336512726126
19	891e34d6933ffff	h3place				12.81857	50.5806	9.0		50.58059514700898	12.818569131051927
20	891f1a65abbffff	h3place				12.6988	50.71951	9.0		50.71951199684471	12.69879633960095
21	https://www.openstreetmap.org/way/300060847	osmplace				12.79384	50.69669				
22	https://www.openstreetmap.org/way/693062836	osmplace				12.83065	50.62276				
23	https://www.openstreetmap.org/way/332481294	osmplace				12.7691	50.69625				
24	https://www.openstreetmap.org/way/361563780	osmplace				12.78076	50.54722				
25	https://www.openstreetmap.org/way/264311438	osmplace				12.82665	50.64409				
26	https://www.openstreetmap.org/way/499453152	osmplace				12.62987	50.59802				
27	https://www.openstreetmap.org/way/372377550	osmplace				12.69768	50.58825				
28	https://www.openstreetmap.org/way/104030976	osmplace				12.56621	50.6865				
29	https://www.openstreetmap.org/way/612353240	osmplace				12.56934	50.62932				
30	https://www.openstreetmap.org/way/234010269	osmplace				12.8758	50.58412				
