index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
0	hasOSMTag	pitch	osmtag	891e34d4cafffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
1	hasOSMTag	pitch	osmtag	891e34d63d3ffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
2	hasOSMTag	pitch	osmtag	891e34992dbffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	3.0
3	hasOSMTag	pitch	osmtag	891e34d6e3bffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
4	hasOSMTag	pitch	osmtag	891e34d6bcfffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
5	located_on_h3_cell	891e34d6023ffff	h3place	https://www.openstreetmap.org/way/444395442	osmplace	False	6.0	Services_POS_amenity around (Aue) radius=15.0	
6	hasOSMTag	pitch	osmtag	891e349b23bffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	2.0
7	hasOSMTag	pitch	osmtag	891f1a6d987ffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
8	located_on_h3_cell	891f1a6c993ffff	h3place	https://www.openstreetmap.org/way/312448091	osmplace	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
9	hasOSMTag	pitch	osmtag	891f1a6d5d3ffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	2.0
10	hasOSMTag	pitch	osmtag	891e34d650bffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
11	hasOSMTag	pitch	osmtag	891e34d60b7ffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
12	hasOSMTag	pitch	osmtag	891f1a6d567ffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
13	hasOSMTag	pitch	osmtag	891e349b487ffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
14	hasOSMTag	pitch	osmtag	891e34d4a33ffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
15	hasOSMTag	pitch	osmtag	891e34d4b47ffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
16	hasOSMTag	pitch	osmtag	891e34d61dbffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
17	hasOSMTag	pitch	osmtag	891e34d6a27ffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
18	hasOSMTag	toboggan	osmtag	891e34d564bffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
19	located_on_h3_cell	https://www.openstreetmap.org/way/620137520	osmplace	891e34d7553ffff	h3place	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
20	hasOSMTag	toboggan	osmtag	891e34d5643ffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
21	hasOSMTag	swimming_pool	osmtag	891e34d5027ffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
22	hasOSMTag	toboggan	osmtag	891e34d565bffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	5.0
23	hasOSMTag	playground	osmtag	891e34d6827ffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
24	hasOSMTag	playground	osmtag	891e349a293ffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
25	hasOSMTag	swimming_pool	osmtag	891e34d08d7ffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
26	hasOSMTag	playground	osmtag	891e348b087ffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
27	hasOSMTag	pitch	osmtag	891f1a6db6fffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
28	hasOSMTag	playground	osmtag	891e34d74b7ffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
