index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
0	located_on_h3_cell	891f1a65bcbffff	h3place	https://www.openstreetmap.org/way/661765392	osmplace	False		6.0	Environment_NEG_geological around (Stollberg) radius=15.0
1	located_on_h3_cell	https://www.openstreetmap.org/way/297597837	osmplace	891e3499c77ffff	h3place	False		6.0	Environment_NEG_geological around (Stollberg) radius=15.0
2	located_on_h3_cell	891e349b537ffff	h3place	https://www.openstreetmap.org/way/234014153	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
3	located_on_h3_cell	https://www.openstreetmap.org/way/359920774	osmplace	891e34996d7ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
4	located_on_h3_cell	https://www.openstreetmap.org/way/820204394	osmplace	891e349ad33ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
5	hasOSMTag	891e349022fffff	h3place	primary	osmtag	False	2.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
6	located_on_h3_cell	https://www.openstreetmap.org/way/314903860	osmplace	891e349065bffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
7	hasOSMTag	891e349965bffff	h3place	primary	osmtag	False	2.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
8	located_on_h3_cell	891e34d688bffff	h3place	https://www.openstreetmap.org/way/237216247	osmplace	False		6.0	Environment_NEG_geological around (Stollberg) radius=15.0
9	located_on_h3_cell	891e34930a7ffff	h3place	https://www.openstreetmap.org/way/279561570	osmplace	False		6.0	Environment_NEG_geological around (Stollberg) radius=15.0
10	located_on_h3_cell	891e3490653ffff	h3place	https://www.openstreetmap.org/way/314903861	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
11	located_on_h3_cell	https://www.openstreetmap.org/way/362403145	osmplace	891e3483697ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
12	located_on_h3_cell	891e3493393ffff	h3place	https://www.openstreetmap.org/way/237978273	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
13	located_on_h3_cell	https://www.openstreetmap.org/way/372377554	osmplace	891e34d6017ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
14	located_on_h3_cell	891e34906cfffff	h3place	https://www.openstreetmap.org/way/604750501	osmplace	False		6.0	Environment_NEG_geological around (Stollberg) radius=15.0
15	hasOSMTag	891e34906cfffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Stollberg) radius=15.0
16	hasOSMTag	891e3491a1bffff	h3place	primary	osmtag	False	2.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
17	located_on_h3_cell	891f1a65917ffff	h3place	https://www.openstreetmap.org/way/214635588	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
