index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
0	hasOSMTag	stop_position	osmtag	891e34d65bbffff	h3place	False		Transport_POS_amenity around (Stollberg) radius=15.0	2.0
1	hasOSMTag	891e34930dbffff	h3place	playground	osmtag	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
2	hasOSMTag	stop_position	osmtag	891e3490603ffff	h3place	False		Transport_POS_amenity around (Stollberg) radius=15.0	1.0
3	located_on_h3_cell	https://www.openstreetmap.org/way/313353717	osmplace	891f1a64257ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
4	located_on_h3_cell	https://www.openstreetmap.org/way/319295912	osmplace	891e3498b63ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
5	hasOSMTag	891f1a65ed7ffff	h3place	swimming_pool	osmtag	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
6	located_on_h3_cell	https://www.openstreetmap.org/way/616952267	osmplace	891e349ae6bffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
7	hasOSMTag	stop_position	osmtag	891e34d65afffff	h3place	False		Transport_POS_amenity around (Stollberg) radius=15.0	1.0
8	located_on_h3_cell	891f1a65b83ffff	h3place	https://www.openstreetmap.org/way/387466314	osmplace	False	6.0	Services_POS_amenity around (Stollberg) radius=15.0	
9	located_on_h3_cell	https://www.openstreetmap.org/way/929865521	osmplace	891e349ad4bffff	h3place	False	6.0	Environment_POS_amenity around (Stollberg) radius=15.0	
10	located_on_h3_cell	https://www.openstreetmap.org/relation/10326494	osmplace	891f1a65ddbffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
11	located_on_h3_cell	https://www.openstreetmap.org/way/256600134	osmplace	891f1a66d47ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
12	located_on_h3_cell	https://www.openstreetmap.org/way/308476195	osmplace	891e349b42fffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
13	located_on_h3_cell	https://www.openstreetmap.org/way/685267116	osmplace	891e3491063ffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
14	hasOSMTag	891f1a6ce03ffff	h3place	place_of_worship	osmtag	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
15	located_on_h3_cell	https://www.openstreetmap.org/node/6900444026	osmplace	891e34d65b3ffff	h3place	False	6.0	Services_POS_amenity around (Stollberg) radius=15.0	
16	located_on_h3_cell	https://www.openstreetmap.org/way/685194068	osmplace	891e34d6533ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
17	located_on_h3_cell	https://www.openstreetmap.org/relation/2817590	osmplace	891e349a3abffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
18	located_on_h3_cell	891e3490287ffff	h3place	https://www.openstreetmap.org/way/677376546	osmplace	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
19	hasOSMTag	soccer	osmtag	891f1a6d907ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
20	located_on_h3_cell	https://www.openstreetmap.org/way/56658903	osmplace	891e3498427ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
21	located_on_h3_cell	https://www.openstreetmap.org/node/8719275978	osmplace	891e34d65bbffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
22	hasOSMTag	891f1a65b83ffff	h3place	school	osmtag	False		Services_POS_amenity around (Stollberg) radius=15.0	2.0
23	hasOSMTag	soccer	osmtag	891e349802fffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
24	hasOSMTag	multi	osmtag	891f1a6c993ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
25	located_on_h3_cell	https://www.openstreetmap.org/relation/10099465	osmplace	891e34d65a7ffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
26	located_on_h3_cell	https://www.openstreetmap.org/way/366123086	osmplace	891f1a6738bffff	h3place	False	6.0	Services_POS_amenity around (Stollberg) radius=15.0	
27	hasOSMTag	soccer	osmtag	891e349b6c7ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
28	located_on_h3_cell	https://www.openstreetmap.org/way/215308913	osmplace	891f1a659a3ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
29	located_on_h3_cell	https://www.openstreetmap.org/node/4242639021	osmplace	891f1a6696fffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
30	located_on_h3_cell	https://www.openstreetmap.org/way/313229910	osmplace	891f1a646d3ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
31	hasOSMTag	soccer	osmtag	891f1a64567ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
32	located_on_h3_cell	https://www.openstreetmap.org/node/8805220596	osmplace	891e3490687ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
33	located_on_h3_cell	https://www.openstreetmap.org/way/217172193	osmplace	891f1a66b53ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
34	located_on_h3_cell	https://www.openstreetmap.org/node/8718883568	osmplace	891f1a66d47ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
35	located_on_h3_cell	https://www.openstreetmap.org/way/401413227	osmplace	891f1a6097bffff	h3place	False	6.0	Lifestyle_POS_amenity around (Stollberg) radius=15.0	
36	hasOSMTag	dentist	osmtag	891f1a6d973ffff	h3place	False		Services_POS_amenity around (Stollberg) radius=15.0	1.0
37	located_on_h3_cell	https://www.openstreetmap.org/way/506280037	osmplace	891e349142fffff	h3place	False	6.0	Lifestyle_POS_amenity around (Stollberg) radius=15.0	
38	located_on_h3_cell	891f1a6cb47ffff	h3place	https://www.openstreetmap.org/relation/8737366	osmplace	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
39	hasOSMTag	891e34d60c3ffff	h3place	tennis	osmtag	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
40	located_on_h3_cell	https://www.openstreetmap.org/node/8851302729	osmplace	891f1a659bbffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
41	located_on_h3_cell	https://www.openstreetmap.org/way/221183180	osmplace	891f1a66167ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
42	located_on_h3_cell	https://www.openstreetmap.org/node/6407462195	osmplace	891f1a6d967ffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
43	located_on_h3_cell	https://www.openstreetmap.org/relation/9622444	osmplace	891f1a66bcbffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
44	located_on_h3_cell	https://www.openstreetmap.org/way/864875200	osmplace	891e34d60d7ffff	h3place	False	6.0	Services_POS_amenity around (Stollberg) radius=15.0	
45	located_on_h3_cell	https://www.openstreetmap.org/way/356582484	osmplace	891e34d6007ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
46	located_on_h3_cell	https://www.openstreetmap.org/relation/3116381	osmplace	891e3499c73ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
47	located_on_h3_cell	https://www.openstreetmap.org/way/317406376	osmplace	891f1a6d93bffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
48	located_on_h3_cell	https://www.openstreetmap.org/way/588054568	osmplace	891f1a6c357ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
49	hasOSMTag	carpenter	osmtag	891f1a673b3ffff	h3place	False		Lifestyle_POS_amenity around (Stollberg) radius=15.0	1.0
50	located_on_h3_cell	https://www.openstreetmap.org/relation/9828769	osmplace	891f1a6ce57ffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
51	located_on_h3_cell	https://www.openstreetmap.org/relation/10275313	osmplace	891e349a28fffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
52	located_on_h3_cell	https://www.openstreetmap.org/way/483493824	osmplace	891e3498557ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
53	located_on_h3_cell	https://www.openstreetmap.org/relation/1493915	osmplace	891e349a6cfffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
54	located_on_h3_cell	891f1a65b83ffff	h3place	https://www.openstreetmap.org/way/348423032	osmplace	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
55	located_on_h3_cell	https://www.openstreetmap.org/way/527249780	osmplace	891e349ae13ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
56	hasOSMTag	891e349835bffff	h3place	stop_area	osmtag	False		Transport_POS_amenity around (Stollberg) radius=15.0	1.0
57	located_on_h3_cell	https://www.openstreetmap.org/way/301466809	osmplace	891f1a658cbffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
