index	Id	v_type	attributes.osmid	attributes.tagvalue	attributes.tagname	Lon	Lat	attributes.resolution	attributes.h3index	lat	lon
0	891f1a6ce0bffff	h3place				12.62923	50.63634	9.0		50.63634301118446	12.62923189421996
1	891e34d63c7ffff	h3place				12.69833	50.57512	9.0		50.57511834133085	12.698327128361893
2	891e349b363ffff	h3place				12.75322	50.65734	9.0		50.657340855492755	12.753215828560316
3	891f1a6c993ffff	h3place				12.69437	50.6534	9.0		50.653401660771685	12.694366951369462
4	891f1a65a9bffff	h3place				12.68632	50.7212	9.0		50.721203444722626	12.686319417651521
5	891f1a6ec33ffff	h3place				12.63542	50.71018	9.0		50.710178165506804	12.63542295733748
6	891f1a6c183ffff	h3place				12.60977	50.66288	9.0		50.6628790317929	12.609772231834615
7	891e34992cfffff	h3place				12.72749	50.61002	9.0		50.61002410883201	12.727493648623097
8	891e3498437ffff	h3place				12.81496	50.68676	9.0		50.68676141929926	12.814963285841552
9	891f1a6c0cbffff	h3place				12.56384	50.65215	9.0		50.65215362029312	12.563844984819733
10	891e3498207ffff	h3place				12.80799	50.65085	9.0		50.65084957646604	12.807990050630133
11	891e3491c3bffff	h3place				12.93972	50.76326	9.0		50.76326349003479	12.93972355525028
12	891e349ad53ffff	h3place				12.88846	50.7245	9.0		50.724500949549984	12.888455815071442
13	891e34931cbffff	h3place				12.86156	50.81377	9.0		50.81376974401127	12.861558401486457
14	891e3493067ffff	h3place				12.84987	50.80542	9.0		50.805419123452765	12.849868922304337
15	891f1a6539bffff	h3place				12.63333	50.73533	9.0		50.735334505992626	12.63333017773108
16	891f1a6714bffff	h3place				12.62381	50.79031	9.0		50.790313004883615	12.62380962138922
17	891e349369bffff	h3place				12.79948	50.81725	9.0		50.81725295925248	12.799478474217787
18	891e349367bffff	h3place				12.80562	50.8025	9.0		50.80249719964652	12.805617024115922
19	891e34912b7ffff	h3place				12.85922	50.75041	9.0		50.75041086185526	12.859222509939935
20	891f1a6410fffff	h3place				12.72555	50.78453	9.0		50.7845289984282	12.725548905610063
21	891f1a6588fffff	h3place				12.70962	50.73795	9.0		50.73794670039132	12.709620219897534
22	891f1a650bbffff	h3place				12.62717	50.75009	9.0		50.75009127198054	12.627165314681388
23	891f1a6544fffff	h3place				12.5973	50.75312	9.0		50.75312017685828	12.597296034333391
24	891e3491043ffff	h3place				12.85391	50.75512	9.0		50.75511963722328	12.85390539150601
25	891e349ad7bffff	h3place				12.89868	50.72011	9.0		50.720109371968185	12.898681565680315
26	891f1a6616fffff	h3place				12.70709	50.82878	9.0		50.828777592300625	12.707085688175743
27	891e349a677ffff	h3place				12.76834	50.71404	9.0		50.714040084171074	12.768339677050413
28	891f1a6c59bffff	h3place				12.58624	50.679	9.0		50.678998962895385	12.586239564390532
29	891e3499c73ffff	h3place				12.82208	50.62898	9.0		50.62898232648476	12.822077250754635
30	891e3499137ffff	h3place				12.80205	50.63272	9.0		50.632724560326785	12.802053993066298
31	891e349ae6bffff	h3place				12.85118	50.69674	9.0		50.69674496360756	12.851175230918425
32	891f1a6e943ffff	h3place				12.66919	50.68968	9.0		50.68968326662872	12.669185969937882
33	891e3499b0bffff	h3place				12.85658	50.59831	9.0		50.59831182071505	12.856575508134382
34	891e34d6997ffff	h3place				12.80796	50.59003	9.0		50.59003374094006	12.807956104742104
35	891e349a207ffff	h3place				12.78654	50.7026	9.0		50.70259663686757	12.786542364768858
36	891e34d6623ffff	h3place				12.66545	50.58558	9.0		50.58558108243389	12.665454970432183
37	891e34d60a7ffff	h3place				12.70157	50.59562	9.0		50.59561544783147	12.70157314723729
38	891e3499c13ffff	h3place				12.81902	50.63638	9.0		50.63638057136948	12.819017386804376
39	891f1a65ba7ffff	h3place				12.74297	50.72247	9.0		50.722470247058304	12.742973586776724
40	891e349ae43ffff	h3place				12.84095	50.70113	9.0		50.701133901686454	12.840951737230794
41	891e349ae4fffff	h3place				12.84361	50.69878	9.0		50.69877786845297	12.843608634932473
42	891e34931d3ffff	h3place				12.86116	50.8188	9.0		50.818797202262004	12.861155212114042
43	891f1a64cc7ffff	h3place				12.74971	50.7912	9.0		50.79119848366688	12.749705464502826
44	891f1a648bbffff	h3place				12.78042	50.77808	9.0		50.77807594906483	12.780419157911348
45	891e3493387ffff	h3place				12.86236	50.80371	9.0		50.803713717013466	12.862364608575415
46	891f1a6455bffff	h3place				12.68992	50.7973	9.0		50.797303941172075	12.689915272903283
47	891f1a642b3ffff	h3place				12.6795	50.77385	9.0		50.77385447661481	12.679503953445852
48	891f1a65987ffff	h3place				12.74624	50.74293	9.0		50.74292601720853	12.746239967322243
49	891f1a64553ffff	h3place				12.69216	50.79998	9.0		50.799982347877254	12.69216441320266
50	891f1a66a93ffff	h3place				12.7329	50.81535	9.0		50.81534800290506	12.732903312962963
51	891f1a6c197ffff	h3place				12.61201	50.66556	9.0		50.665563110502816	12.612013324709865
52	891f1a6684bffff	h3place				12.74273	50.816	9.0		50.81600487466316	12.7427345276633
53	891e34d65bbffff	h3place				12.70748	50.61375	9.0		50.613751188720705	12.707477965069922
54	891e349a043ffff	h3place				12.78798	50.71535	9.0		50.71534526734806	12.787977593460216
55	891e34d61dbffff	h3place				12.70423	50.59326	9.0		50.59325915268281	12.70422932169538
56	891e349840fffff	h3place				12.8029	50.68343	9.0		50.683431067590924	12.802896022408508
57	891e3499613ffff	h3place				12.71604	50.62953	9.0		50.62952716662127	12.716043222443604
58	891e34d62b7ffff	h3place				12.68322	50.57917	9.0		50.57917307454314	12.683219797581513
59	891f1a6c00bffff	h3place				12.57631	50.65047	9.0		50.65047232792426	12.576306723809283
60	891f1a65a2fffff	h3place				12.70944	50.71011	9.0		50.71010518752036	12.709439107595976
61	891f1a6dd07ffff	h3place				12.62069	50.62056	9.0		50.62056471458457	12.620688098338315
62	891e3491eb3ffff	h3place				12.92311	50.75459	9.0		50.75459417041857	12.923114083891017
63	891f1a64547ffff	h3place				12.69974	50.79796	9.0		50.79796420275331	12.69974194371315
64	891e349333bffff	h3place				12.86809	50.79398	9.0		50.793979251523005	12.868087629262542
65	891f1a64b77ffff	h3place				12.79986	50.75155	9.0		50.7515505865961	12.79985896742496
66	891e349b16bffff	h3place				12.7667	50.67343	9.0		50.67343250808298	12.766704396885261
67	891f1a6d90fffff	h3place				12.63706	50.6014	9.0		50.60140360470146	12.637057470495845
68	891f1a65a87ffff	h3place				12.69614	50.72186	9.0		50.72186329155564	12.69613526999635
69	891f1a60b3bffff	h3place				12.56155	50.73804	9.0		50.738038026641206	12.561550122306423
70	891f1a60b2bffff	h3place				12.56421	50.73569	9.0		50.73569102820312	12.564214928145118
71	891e349156fffff	h3place				12.88485	50.7698	9.0		50.76979612244009	12.884846653812698
72	891e3491527ffff	h3place				12.89654	50.77815	9.0		50.77814726054505	12.89653589486515
73	891e349368bffff	h3place				12.80214	50.8149	9.0		50.814902529045796	12.802140745056482
74	891f1a6e2a7ffff	h3place				12.55556	50.69209	9.0		50.692089944362074	12.55555579025993
75	891e3493617ffff	h3place				12.80972	50.81288	9.0		50.81287748270046	12.809719881111837
76	891e349ad0fffff	h3place				12.90319	50.72547	9.0		50.7254653675831	12.903194571668358
77	891e3498bc3ffff	h3place				12.91224	50.6425	9.0		50.64250475171617	12.912236227615203
78	891e349368fffff	h3place				12.80706	50.81523	9.0		50.815228197189604	12.807057865181017
79	891f1a66c43ffff	h3place				12.72634	50.83512	9.0		50.83511957467137	12.726337276172417
80	891f1a6429bffff	h3place				12.66477	50.77286	9.0		50.77286160905997	12.664770647843135
81	891e349ae9bffff	h3place				12.8424	50.71388	9.0		50.71388343341053	12.84239710010536
82	891f1a66947ffff	h3place				12.78432	50.8213	9.0		50.82130066065353	12.78431903002952
83	891f1a6e523ffff	h3place				12.58511	50.72194	9.0		50.721940021339904	12.585105980770233
84	891e3491403ffff	h3place				12.84472	50.77727	9.0		50.77727346360856	12.844716435562704
85	891f1a64507ffff	h3place				12.70916	50.80365	9.0		50.803650238300925	12.709155401524411
86	891e3491383ffff	h3place				12.87888	50.7517	9.0		50.75170167131966	12.878879014567632
87	891f1a6e913ffff	h3place				12.67592	50.69773	9.0		50.69772992263416	12.675920721157855
88	891e34d6037ffff	h3place				12.70199	50.59057	9.0		50.59057393355347	12.701986221416416
89	891f1a6e2b7ffff	h3place				12.55289	50.69444	9.0		50.69443838484151	12.552892437800747
90	891e349a2cfffff	h3place				12.77182	50.70162	9.0		50.70161805257915	12.77181649285345
91	891f1a6d977ffff	h3place				12.63972	50.59905	9.0		50.599049290729866	12.639715360400569
92	891e34985a7ffff	h3place				12.84892	50.69407	9.0		50.694065313493326	12.848921976056017
93	891e349a273ffff	h3place				12.78204	50.69724	9.0		50.69723577417158	12.782041697059435
94	https://www.openstreetmap.org/way/410553396	osmplace				12.78325	50.71014				
95	https://www.openstreetmap.org/way/786108631	osmplace				12.77456	50.70976				
96	https://www.openstreetmap.org/node/6833410160	osmplace				12.71661	50.61102				
97	891e34d615bffff	h3place				12.7073	50.58586	9.0		50.58586077120726	12.707298020845077
98	891e3490693ffff	h3place				12.88921	50.808	9.0		50.80800263860965	12.889213215755186
99	891e349a647ffff	h3place				12.75852	50.71339	9.0		50.71338628307182	12.75852154125533
100	891e349b5d3ffff	h3place				12.73214	50.70403	9.0		50.704033723396044	12.732141964557966
101	891e3498d4fffff	h3place				12.91515	50.66802	9.0		50.66802411001656	12.915151692889584
102	891e349314fffff	h3place				12.86954	50.80671	9.0		50.80671249927449	12.869539980422738
103	891f1a6c193ffff	h3place				12.60711	50.66523	9.0		50.6652300769519	12.607111238305476
104	891f1a65977ffff	h3place				12.74972	50.73051	9.0		50.73051045632175	12.749721827027345
105	891f1a65653ffff	h3place				12.57627	50.73904	9.0		50.739043203101474	12.57626880257341
106	https://www.openstreetmap.org/relation/10340648	osmplace				12.58393	50.69203				
107	891e349a297ffff	h3place				12.78082	50.71234	9.0		50.71233927474214	12.780817244088587
108	891e3498427ffff	h3place				12.81762	50.68441	9.0		50.68440553940237	12.817620250547936
109	891e349962fffff	h3place				12.73382	50.62312	9.0		50.62311631680641	12.733817967686601
110	891f1a6587bffff	h3place				12.7082	50.7252	9.0		50.72520304613225	12.708199169426868
111	891e34d6903ffff	h3place				12.80877	50.57995	9.0		50.579946752287	12.808767251526065
112	891e34d602fffff	h3place				12.7024	50.58553	9.0		50.58553205089417	12.702399237189802
113	https://www.openstreetmap.org/relation/10090890	osmplace				12.72418	50.61445				
114	891f1a66d47ffff	h3place				12.76568	50.83775	9.0		50.83774512211297	12.765675317668132
115	891f1a6c353ffff	h3place				12.58513	50.63335	9.0		50.63334612810751	12.585132769068373
116	891e34d63b3ffff	h3place				12.71261	50.58115	9.0		50.581146957891995	12.712609218277494
117	https://www.openstreetmap.org/relation/10275314	osmplace				12.78739	50.70335				
118	891f1a6c817ffff	h3place				12.66802	50.64403	9.0		50.644030834641285	12.66802484607332
119	891f1a6453bffff	h3place				12.71182	50.8013	9.0		50.80130174175538	12.711819270314042
120	891e3498843ffff	h3place				12.89671	50.65162	9.0		50.65162302016192	12.89671479131467
121	891f1a6488fffff	h3place				12.77551	50.77775	9.0		50.77774935049381	12.775505261329569
122	891e34d690bffff	h3place				12.80652	50.57726	9.0		50.5772625606309	12.806519702724874
123	891f1a65097ffff	h3place				12.62184	50.75479	9.0		50.754787434733124	12.621837374817304
124	https://www.openstreetmap.org/node/6773036190	osmplace				12.67276	50.58139				
125	891e34930cfffff	h3place				12.83205	50.81183	9.0		50.81182628711218	12.832050768894428
126	891f1a6431bffff	h3place				12.70223	50.7678	9.0		50.76779743641542	12.702227420705217
