index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
0	located_on_h3_cell	891f0149a17ffff	h3place	https://www.openstreetmap.org/way/439464279	osmplace	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
1	located_on_h3_cell	https://www.openstreetmap.org/way/701712931	osmplace	891f03bb17bffff	h3place	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
2	located_on_h3_cell	https://www.openstreetmap.org/way/312919460	osmplace	891f0386e9bffff	h3place	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
3	located_on_h3_cell	891f0386e0bffff	h3place	https://www.openstreetmap.org/way/685612464	osmplace	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
4	located_on_h3_cell	891f038610bffff	h3place	https://www.openstreetmap.org/way/294237627	osmplace	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
5	hasOSMTag	891f0384c3bffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Stralsund) radius=15.0
6	located_on_h3_cell	891f03b0037ffff	h3place	https://www.openstreetmap.org/way/639120770	osmplace	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
7	hasOSMTag	891f0149843ffff	h3place	trunk	osmtag	False	6.0		Transport_NEG_aeroway around (Stralsund) radius=15.0
8	located_on_h3_cell	891f0149ab3ffff	h3place	https://www.openstreetmap.org/way/439464487	osmplace	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
9	hasOSMTag	891f0386a17ffff	h3place	department_store	osmtag	False	1.0		Lifestyle_NEG_shop around (Stralsund) radius=15.0
10	hasOSMTag	891f0384847ffff	h3place	primary	osmtag	False	2.0		Transport_NEG_aeroway around (Stralsund) radius=15.0
11	located_on_h3_cell	891f03ba3dbffff	h3place	https://www.openstreetmap.org/way/226040782	osmplace	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
12	hasOSMTag	891f03ba3dbffff	h3place	primary	osmtag	False	2.0		Transport_NEG_aeroway around (Stralsund) radius=15.0
13	located_on_h3_cell	891f0149a17ffff	h3place	https://www.openstreetmap.org/way/439464274	osmplace	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
14	hasOSMTag	891f0149a07ffff	h3place	trunk	osmtag	False	2.0		Transport_NEG_aeroway around (Stralsund) radius=15.0
15	located_on_h3_cell	891f0386933ffff	h3place	https://www.openstreetmap.org/way/439463483	osmplace	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
16	located_on_h3_cell	https://www.openstreetmap.org/way/312929958	osmplace	891f0384847ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
17	located_on_h3_cell	891f0149a17ffff	h3place	https://www.openstreetmap.org/way/439464277	osmplace	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
18	located_on_h3_cell	891f0386a17ffff	h3place	https://www.openstreetmap.org/way/322698080	osmplace	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
19	located_on_h3_cell	891f03ba3dbffff	h3place	https://www.openstreetmap.org/way/701712932	osmplace	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
20	hasOSMTag	891f0386a17ffff	h3place	primary	osmtag	False	4.0		Transport_NEG_aeroway around (Stralsund) radius=15.0
21	located_on_h3_cell	891f0149843ffff	h3place	https://www.openstreetmap.org/way/439464482	osmplace	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
22	hasOSMTag	891f0386e0bffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Stralsund) radius=15.0
