index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
0	hasOSMTag	restaurant	osmtag	891f0386397ffff	h3place	False		Lifestyle_POS_amenity around (Stralsund) radius=15.0	1.0
1	hasOSMTag	volleyball	osmtag	891f038744bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
2	hasOSMTag	golf	osmtag	891f038680fffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
3	hasOSMTag	golf	osmtag	891f0386857ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
4	hasOSMTag	golf	osmtag	891f038681bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
5	hasOSMTag	golf	osmtag	891f03868c7ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
6	hasOSMTag	golf	osmtag	891f03b2a7bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
7	hasOSMTag	pitch	osmtag	891f03868c3ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
8	hasOSMTag	891f038763bffff	h3place	milestone	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
9	hasOSMTag	gardener	osmtag	891f03b0c8bffff	h3place	False		Lifestyle_POS_amenity around (Stralsund) radius=15.0	1.0
10	hasOSMTag	equestrian	osmtag	891f03baba7ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
11	hasOSMTag	891f0386813ffff	h3place	pitch	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
12	hasOSMTag	equestrian	osmtag	891f03876abffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
13	hasOSMTag	pitch	osmtag	891f014d693ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
14	hasOSMTag	pitch	osmtag	891f038682bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	5.0
15	hasOSMTag	equestrian	osmtag	891f03b2447ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
16	hasOSMTag	891f038680bffff	h3place	garden	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	3.0
17	hasOSMTag	891f03863b3ffff	h3place	playground	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
18	hasOSMTag	restaurant	osmtag	891f0386383ffff	h3place	False		Lifestyle_POS_amenity around (Stralsund) radius=15.0	1.0
19	hasOSMTag	pitch	osmtag	891f038680fffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	7.0
20	hasOSMTag	891f038639bffff	h3place	track	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
21	hasOSMTag	multi	osmtag	891f0386323ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
22	located_on_h3_cell	891f03b1147ffff	h3place	https://www.openstreetmap.org/way/449660797	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
23	located_on_h3_cell	891f0386337ffff	h3place	https://www.openstreetmap.org/way/38903222	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
24	hasOSMTag	pitch	osmtag	891f0384903ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
25	hasOSMTag	891f0148b0bffff	h3place	stop_area	osmtag	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
26	hasOSMTag	891f03863b3ffff	h3place	restaurant	osmtag	False		Lifestyle_POS_amenity around (Stralsund) radius=15.0	1.0
27	located_on_h3_cell	891f03baba3ffff	h3place	https://www.openstreetmap.org/way/378162527	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
28	located_on_h3_cell	891f038e93bffff	h3place	https://www.openstreetmap.org/relation/12837318	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
29	hasOSMTag	multi	osmtag	891f03b8413ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
30	located_on_h3_cell	891f038763bffff	h3place	https://www.openstreetmap.org/way/868753060	osmplace	False	6.0	Lifestyle_POS_amenity around (Stralsund) radius=15.0	
31	located_on_h3_cell	891f038680bffff	h3place	https://www.openstreetmap.org/way/694091167	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
32	located_on_h3_cell	891f038680bffff	h3place	https://www.openstreetmap.org/way/694091166	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
33	hasOSMTag	manor	osmtag	891f0386a63ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
34	located_on_h3_cell	891f038680bffff	h3place	https://www.openstreetmap.org/way/694095098	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
35	hasOSMTag	891f038680bffff	h3place	golf	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	3.0
36	hasOSMTag	pitch	osmtag	891f0386817ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	5.0
37	located_on_h3_cell	891f03876b3ffff	h3place	https://www.openstreetmap.org/way/876284100	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
38	located_on_h3_cell	891f03876b3ffff	h3place	https://www.openstreetmap.org/relation/11931254	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
39	located_on_h3_cell	891f03876b3ffff	h3place	https://www.openstreetmap.org/node/673421361	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
40	located_on_h3_cell	891f038680bffff	h3place	https://www.openstreetmap.org/way/379723534	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
41	located_on_h3_cell	891f038680bffff	h3place	https://www.openstreetmap.org/way/694091165	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
42	located_on_h3_cell	891f0148b0bffff	h3place	https://www.openstreetmap.org/relation/9908739	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
43	hasOSMTag	pitch	osmtag	891f03b8407ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
44	hasOSMTag	pitch	osmtag	891f0386823ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	6.0
45	hasOSMTag	golf	osmtag	891f0386ea7ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
46	hasOSMTag	joiner	osmtag	891f0387637ffff	h3place	False		Lifestyle_POS_amenity around (Stralsund) radius=15.0	1.0
47	hasOSMTag	pitch	osmtag	891f03b2a47ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
48	hasOSMTag	891f0386337ffff	h3place	multi	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
49	hasOSMTag	891f03b1147ffff	h3place	place_of_worship	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
50	hasOSMTag	gardener	osmtag	891f03b0607ffff	h3place	False		Lifestyle_POS_amenity around (Stralsund) radius=15.0	1.0
51	hasOSMTag	pitch	osmtag	891f0148cdbffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
52	hasOSMTag	pitch	osmtag	891f0386833ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
53	hasOSMTag	pitch	osmtag	891f03b2a0bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	4.0
54	hasOSMTag	pitch	osmtag	891f03868d3ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
55	hasOSMTag	pitch	osmtag	891f03b1c2fffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
56	hasOSMTag	pitch	osmtag	891f03868c7ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
57	hasOSMTag	pitch	osmtag	891f0385133ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
58	hasOSMTag	pitch	osmtag	891f0386807ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	5.0
59	hasOSMTag	pitch	osmtag	891f0394dabffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
60	hasOSMTag	pitch	osmtag	891f038744bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
61	hasOSMTag	milestone	osmtag	891f038763bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
62	hasOSMTag	891f03b0c8bffff	h3place	gardener	osmtag	False		Lifestyle_POS_amenity around (Stralsund) radius=15.0	1.0
63	hasOSMTag	891f038633bffff	h3place	sports_centre	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
64	located_on_h3_cell	https://www.openstreetmap.org/way/379723562	osmplace	891f0386803ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
65	located_on_h3_cell	891f03863b3ffff	h3place	https://www.openstreetmap.org/node/3091354687	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
66	located_on_h3_cell	https://www.openstreetmap.org/way/38903175	osmplace	891f0386393ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
67	located_on_h3_cell	https://www.openstreetmap.org/way/242401294	osmplace	891f0386803ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
68	located_on_h3_cell	https://www.openstreetmap.org/way/242401292	osmplace	891f0386807ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
69	located_on_h3_cell	https://www.openstreetmap.org/way/694091169	osmplace	891f03868cfffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
70	located_on_h3_cell	https://www.openstreetmap.org/way/683351267	osmplace	891f03b2a0bffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
71	located_on_h3_cell	https://www.openstreetmap.org/relation/9917292	osmplace	891f0384347ffff	h3place	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
72	located_on_h3_cell	https://www.openstreetmap.org/node/333256889	osmplace	891f014d677ffff	h3place	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
73	located_on_h3_cell	https://www.openstreetmap.org/way/456981706	osmplace	891f038617bffff	h3place	False	6.0	Services_POS_amenity around (Stralsund) radius=15.0	
74	hasOSMTag	891f0394dabffff	h3place	pitch	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
75	located_on_h3_cell	891f038633bffff	h3place	https://www.openstreetmap.org/node/2021945520	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
76	hasOSMTag	891f03b0c8bffff	h3place	stop_area	osmtag	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
77	located_on_h3_cell	891f038616fffff	h3place	https://www.openstreetmap.org/node/2021708132	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
78	hasOSMTag	891f038616fffff	h3place	kindergarten	osmtag	False		Services_POS_amenity around (Stralsund) radius=15.0	1.0
79	hasOSMTag	891f038616fffff	h3place	platform	osmtag	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
80	hasOSMTag	891f038682bffff	h3place	garden	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
81	located_on_h3_cell	891f038682bffff	h3place	https://www.openstreetmap.org/way/242147365	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
82	located_on_h3_cell	https://www.openstreetmap.org/way/242375181	osmplace	891f0386807ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
83	hasOSMTag	891f03b2447ffff	h3place	pitch	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
84	located_on_h3_cell	https://www.openstreetmap.org/node/8688213824	osmplace	891f0387063ffff	h3place	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
85	located_on_h3_cell	891f0386803ffff	h3place	https://www.openstreetmap.org/way/242147350	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
86	located_on_h3_cell	891f03863b3ffff	h3place	https://www.openstreetmap.org/node/3091354690	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
87	hasOSMTag	891f03868c7ffff	h3place	pitch	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
88	hasOSMTag	golf	osmtag	891f0386c6fffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
89	hasOSMTag	pitch	osmtag	891f0149003ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
90	located_on_h3_cell	https://www.openstreetmap.org/way/38903222	osmplace	891f0386337ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
91	hasOSMTag	891f0394dabffff	h3place	soccer	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
92	located_on_h3_cell	891f0384907ffff	h3place	https://www.openstreetmap.org/way/384599437	osmplace	False	6.0	Services_POS_amenity around (Stralsund) radius=15.0	
93	hasOSMTag	manor	osmtag	891f0387073ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
94	located_on_h3_cell	https://www.openstreetmap.org/node/8119171428	osmplace	891f0387607ffff	h3place	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
95	hasOSMTag	891f03b2a7bffff	h3place	golf	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
96	located_on_h3_cell	https://www.openstreetmap.org/way/694095100	osmplace	891f038681bffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
97	hasOSMTag	ruins	osmtag	891f03959b7ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
98	located_on_h3_cell	891f0386823ffff	h3place	https://www.openstreetmap.org/way/242403961	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
99	located_on_h3_cell	https://www.openstreetmap.org/relation/571933	osmplace	891f03b0cd7ffff	h3place	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
100	hasOSMTag	891f03b28c3ffff	h3place	nature_reserve	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
101	hasOSMTag	playground	osmtag	891f038707bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
102	located_on_h3_cell	891f0386817ffff	h3place	https://www.openstreetmap.org/way/242403100	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
103	located_on_h3_cell	891f0386817ffff	h3place	https://www.openstreetmap.org/way/242403095	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
104	located_on_h3_cell	891f0386817ffff	h3place	https://www.openstreetmap.org/way/242372503	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
105	hasOSMTag	stop_area	osmtag	891f03b0c8bffff	h3place	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
106	located_on_h3_cell	https://www.openstreetmap.org/way/242147382	osmplace	891f038683bffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
107	hasOSMTag	platform	osmtag	891f014b22fffff	h3place	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
108	located_on_h3_cell	https://www.openstreetmap.org/way/694095101	osmplace	891f03868d7ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
109	located_on_h3_cell	https://www.openstreetmap.org/node/8119171440	osmplace	891f0387607ffff	h3place	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
110	located_on_h3_cell	891f0386813ffff	h3place	https://www.openstreetmap.org/way/242403093	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
111	hasOSMTag	891f0386817ffff	h3place	garden	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	4.0
112	located_on_h3_cell	891f038680bffff	h3place	https://www.openstreetmap.org/way/694094035	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
113	located_on_h3_cell	891f03b1c77ffff	h3place	https://www.openstreetmap.org/way/375923736	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
114	hasOSMTag	891f0386a17ffff	h3place	playground	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
115	hasOSMTag	891f03b1c77ffff	h3place	soccer	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
116	located_on_h3_cell	891f038682bffff	h3place	https://www.openstreetmap.org/way/242406855	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
117	located_on_h3_cell	https://www.openstreetmap.org/way/242374173	osmplace	891f038680fffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
118	located_on_h3_cell	891f038763bffff	h3place	https://www.openstreetmap.org/node/8173740331	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
119	hasOSMTag	891f03863afffff	h3place	pharmacy	osmtag	False		Services_POS_amenity around (Stralsund) radius=15.0	1.0
120	located_on_h3_cell	891f0386a93ffff	h3place	https://www.openstreetmap.org/node/2027082652	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
121	hasOSMTag	891f03876abffff	h3place	equestrian	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
122	located_on_h3_cell	891f03b001bffff	h3place	https://www.openstreetmap.org/way/457746171	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
123	hasOSMTag	891f0386a93ffff	h3place	platform	osmtag	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
124	located_on_h3_cell	891f038660bffff	h3place	https://www.openstreetmap.org/way/761192608	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
125	hasOSMTag	platform	osmtag	891f0386a13ffff	h3place	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
126	located_on_h3_cell	891f0386817ffff	h3place	https://www.openstreetmap.org/way/242403096	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
127	located_on_h3_cell	891f03b00c3ffff	h3place	https://www.openstreetmap.org/way/256130054	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
128	located_on_h3_cell	891f03863afffff	h3place	https://www.openstreetmap.org/node/1999281926	osmplace	False	6.0	Services_POS_amenity around (Stralsund) radius=15.0	
129	hasOSMTag	891f03b00c3ffff	h3place	place_of_worship	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
130	located_on_h3_cell	891f0149ac3ffff	h3place	https://www.openstreetmap.org/way/484702142	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
131	located_on_h3_cell	891f03876bbffff	h3place	https://www.openstreetmap.org/way/874160663	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
132	located_on_h3_cell	891f038683bffff	h3place	https://www.openstreetmap.org/way/242406843	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
133	hasOSMTag	pitch	osmtag	891f03baba3ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
134	located_on_h3_cell	https://www.openstreetmap.org/way/694094542	osmplace	891f038680bffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
135	hasOSMTag	891f03959b7ffff	h3place	ruins	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
136	hasOSMTag	891f0386337ffff	h3place	kindergarten	osmtag	False		Services_POS_amenity around (Stralsund) radius=15.0	1.0
137	located_on_h3_cell	https://www.openstreetmap.org/way/694095104	osmplace	891f03868d3ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
138	hasOSMTag	891f03b011bffff	h3place	platform	osmtag	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
139	hasOSMTag	891f03b2a47ffff	h3place	golf	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
140	hasOSMTag	891f03b001bffff	h3place	platform	osmtag	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
141	located_on_h3_cell	https://www.openstreetmap.org/way/694095105	osmplace	891f03868c3ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
142	located_on_h3_cell	891f038680fffff	h3place	https://www.openstreetmap.org/way/242374173	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
143	located_on_h3_cell	https://www.openstreetmap.org/way/188481130	osmplace	891f0386397ffff	h3place	False	6.0	Lifestyle_POS_amenity around (Stralsund) radius=15.0	
144	hasOSMTag	891f038633bffff	h3place	restaurant	osmtag	False		Lifestyle_POS_amenity around (Stralsund) radius=15.0	1.0
145	located_on_h3_cell	891f03b2a47ffff	h3place	https://www.openstreetmap.org/way/683351264	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
146	located_on_h3_cell	891f038682bffff	h3place	https://www.openstreetmap.org/way/242406832	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
147	hasOSMTag	golf	osmtag	891f03b2a47ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
148	located_on_h3_cell	https://www.openstreetmap.org/relation/9908831	osmplace	891f03863bbffff	h3place	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
149	located_on_h3_cell	891f038633bffff	h3place	https://www.openstreetmap.org/node/2002306467	osmplace	False	6.0	Lifestyle_POS_amenity around (Stralsund) radius=15.0	
150	located_on_h3_cell	891f03b0cd7ffff	h3place	https://www.openstreetmap.org/relation/571933	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
151	located_on_h3_cell	https://www.openstreetmap.org/relation/9911148	osmplace	891f014b1dbffff	h3place	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
152	located_on_h3_cell	891f0386823ffff	h3place	https://www.openstreetmap.org/way/242147362	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
153	located_on_h3_cell	https://www.openstreetmap.org/way/74685161	osmplace	891f03b8413ffff	h3place	False	6.0	Services_POS_amenity around (Stralsund) radius=15.0	
