index	Id	v_type	attributes.osmid	attributes.tagvalue	attributes.tagname	Lon	Lat	attributes.resolution	attributes.h3index	lat	lon
0	891f0387607ffff	h3place				12.90947	54.07868	9.0		54.07867814706159	12.90947417500819
1	891f03876b3ffff	h3place				12.91143	54.08601	9.0		54.0860123755405	12.911427685724322
2	891f014b22fffff	h3place				13.05634	54.18413	9.0		54.18412950932231	13.05634192994648
3	891f014d20bffff	h3place				13.31415	54.15223	9.0		54.152233630842765	13.31415291651263
4	891f038683bffff	h3place				13.10985	54.1059	9.0		54.10590472472791	13.109848512033844
5	891f03863a3ffff	h3place				13.03941	54.10865	9.0		54.10864536907345	13.039411032682061
6	891f03b3387ffff	h3place				13.21532	54.08849	9.0		54.08848834170528	13.215324666052975
7	891f0386a63ffff	h3place				13.0884	54.08293	9.0		54.082927912747856	13.088402134848124
8	891f0386a17ffff	h3place				13.08759	54.09249	9.0		54.092487088615734	13.08758870337337
9	891f038680bffff	h3place				13.0995	54.10525	9.0		54.10525155479423	13.099502838876745
10	891f038e93bffff	h3place				13.02942	53.98299	9.0		53.98298760220526	13.029416166292345
11	891f038616bffff	h3place				13.04696	54.11153	9.0		54.11152780215965	13.046963607597464
12	891f0386ea7ffff	h3place				13.08079	54.11127	9.0		54.111273260011835	13.08078829223595
13	891f0386873ffff	h3place				13.10229	54.10303	9.0		54.10302571640463	13.102292088419144
14	891f014901bffff	h3place				13.07433	54.15648	9.0		54.15647894372462	13.074327089349527
15	891f03b08dbffff	h3place				13.3594	54.07573	9.0		54.07573387327964	13.35940417649754
16	891f038615bffff	h3place				13.03104	54.11532	9.0		54.11531657074696	13.031037262918097
17	891f0148163ffff	h3place				13.18863	54.19006	9.0		54.19005960436479	13.188632014319792
18	891f0148cdbffff	h3place				13.20338	54.20057	9.0		54.200573055380154	13.203380034196492
19	891f014b023ffff	h3place				13.07024	54.2042	9.0		54.204198337849846	13.070242358271038
20	891f0386163ffff	h3place				13.04934	54.11408	9.0		54.11408085281251	13.049344752564055
21	891f03bb3cfffff	h3place				13.08626	53.95531	9.0		53.955305469459574	13.086256279552297
