	0	1
0	stop_area	5
1	primary	0
2	platform	2
3	pitch	4
4	industrial	1
5	swimming_pool	7
6	playground	3
7	stop_position	2
8	park	3
9	place_of_worship	3
10	soccer	4
11	restaurant	3
12	school	3
13	kindergarten	3
14	trunk	6
15	garden	3
16	sports_centre	4
17	fast_food	3
18	bicycle_parking	3
19	track	4
20	equestrian	4
21	doctors	3
22	yes	1
23	multi	4
24	pharmacy	3
25	891e3492347ffff	3
26	quarry	6
27	891e349230bffff	3
28	tennis	4
29	891e3492343ffff	3
30	nature_reserve	6
31	891f1a659bbffff	4
32	891e349055bffff	3
33	891e34904b7ffff	3
34	basketball	4
35	891f1a619cbffff	0
36	891e34921cbffff	4
37	beachvolleyball	4
38	outdoor_seating	3
39	memorial	3
40	table_tennis	4
41	891e349236bffff	2
42	891f1a6183bffff	1
43	picnic_table	3
44	891e349238fffff	3
45	891e349234bffff	2
46	891f1a61993ffff	2
47	891e34d6023ffff	4
48	891f1a6f56fffff	3
49	891f1a6a847ffff	7
50	891f1a61957ffff	2
51	swimming	7
52	891e34923bbffff	2
53	running	4
54	891e349a29bffff	2
55	891e3490553ffff	4
56	891e34906d7ffff	2
57	charging_station	3
58	891f1a6d977ffff	3
59	891f1a2c227ffff	2
60	dentist	3
61	horse_riding	4
62	891e34905cbffff	3
63	891e34d4c37ffff	3
64	891f1a29323ffff	3
65	891e34921b7ffff	2
66	891f1a2c34bffff	4
67	891f1a6191bffff	4
68	891e349231bffff	2
69	891f1a29327ffff	3
70	fountain	3
71	891e349217bffff	2
72	891f1a2aa6fffff	2
73	891f1a2c233ffff	2
74	891f1a2db4fffff	2
75	891e34905afffff	3
76	891e34905cfffff	3
77	volleyball	4
78	891f1a6f127ffff	7
79	891e34904a7ffff	2
80	athletics	4
81	891e3482183ffff	3
82	891e349210fffff	1
83	891f1a2c3cbffff	4
84	891f1a65917ffff	3
85	891f1a65987ffff	3
86	891f1a65b37ffff	3
87	ruins	3
88	891f1a29c8bffff	4
89	891f1a2c23bffff	2
90	891e34992dbffff	4
91	891e349056fffff	3
92	cafe	3
93	891e3492357ffff	3
94	891e349237bffff	3
95	891e34905dbffff	2
96	891f1a619cfffff	3
97	891e34d4cafffff	4
98	891f1a2c267ffff	2
99	891e34923b7ffff	2
100	891f1a68503ffff	4
101	891e349318fffff	2
102	891e34974b3ffff	2
103	891e3490193ffff	0
104	891e3492307ffff	3
105	biergarten	3
106	891f1a29a67ffff	3
107	891f1a6c44fffff	4
108	891f1a29edbffff	3
109	891e34d2d97ffff	4
110	891e3492317ffff	2
111	891e349310bffff	0
112	891f1a61bafffff	1
113	891f1a66ba7ffff	4
114	891e3490053ffff	2
115	891e3492067ffff	2
116	891e3492363ffff	2
117	891e34d602fffff	3
118	891e3492233ffff	4
119	891e3492337ffff	3
120	891e34d6153ffff	2
121	891f1a2ab03ffff	2
122	891f1a29e4bffff	4
123	891e34922b7ffff	4
124	pub	3
125	891f1a28037ffff	2
126	891f1a2dbcbffff	2
127	891f1a6261bffff	3
128	891f02b1363ffff	4
129	891e3492a67ffff	4
130	891f1a29333ffff	2
131	891e34902b7ffff	1
132	891e349a213ffff	4
133	891e3492303ffff	0
134	891f1a67063ffff	7
135	891f1a61d73ffff	4
136	891f1a28d7bffff	2
137	891e34905d3ffff	2
138	891f02843dbffff	4
139	castle	3
140	891e3492e43ffff	4
141	891f1a619d7ffff	3
142	891e34d5643ffff	7
143	891e3492ac3ffff	2
144	station	2
145	891f1a61b37ffff	0
146	891e3490043ffff	2
147	childcare	3
148	891f1a67077ffff	7
149	891e3490503ffff	2
150	891e3490573ffff	2
151	891e3493143ffff	2
152	891e3490623ffff	4
153	891e34974a7ffff	2
154	891e3492373ffff	3
155	891e3490093ffff	2
156	891e349ae0fffff	3
157	891e34922a7ffff	4
158	891f1a2d187ffff	2
159	891e3492383ffff	3
160	891f1a61da7ffff	2
161	891e3492e47ffff	3
162	891f1a61d07ffff	4
163	891e3490187ffff	2
