index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
0	located_on_h3_cell	https://www.openstreetmap.org/way/317479731	osmplace	891e34d758fffff	h3place	False		6.0	Transport_NEG_aeroway around (Aue) radius=15.0
1	located_on_h3_cell	https://www.openstreetmap.org/way/566691127	osmplace	891e3498483ffff	h3place	False		6.0	Transport_NEG_aeroway around (Aue) radius=15.0
2	located_on_h3_cell	https://www.openstreetmap.org/way/234450678	osmplace	891e34894c7ffff	h3place	False		6.0	Transport_NEG_aeroway around (Aue) radius=15.0
3	hasOSMTag	891e34d48cfffff	h3place	industrial	osmtag	False	2.0		Environment_NEG_geological around (Aue) radius=15.0
4	located_on_h3_cell	https://www.openstreetmap.org/way/290184185	osmplace	891e349a6c7ffff	h3place	False		6.0	Transport_NEG_aeroway around (Aue) radius=15.0
5	hasOSMTag	891e34d54abffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Aue) radius=15.0
6	hasOSMTag	891f1a6d9bbffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Aue) radius=15.0
7	located_on_h3_cell	891e34d2a63ffff	h3place	https://www.openstreetmap.org/way/219128069	osmplace	False		6.0	Transport_NEG_aeroway around (Aue) radius=15.0
8	located_on_h3_cell	https://www.openstreetmap.org/way/317622138	osmplace	891e34d491bffff	h3place	False		6.0	Transport_NEG_aeroway around (Aue) radius=15.0
9	hasOSMTag	891e3499c77ffff	h3place	primary	osmtag	False	5.0		Transport_NEG_aeroway around (Aue) radius=15.0
10	located_on_h3_cell	https://www.openstreetmap.org/way/362275294	osmplace	891e34d548bffff	h3place	False		6.0	Transport_NEG_aeroway around (Aue) radius=15.0
11	hasOSMTag	891f1a6d97bffff	h3place	primary	osmtag	False	3.0		Transport_NEG_aeroway around (Aue) radius=15.0
12	located_on_h3_cell	891e349848fffff	h3place	https://www.openstreetmap.org/way/214803678	osmplace	False		6.0	Transport_NEG_aeroway around (Aue) radius=15.0
