index	Id	v_type	attributes.osmid	attributes.tagvalue	attributes.tagname	Lon	Lat	attributes.resolution	attributes.h3index	lat	lon
0	891e349b363ffff	h3place				12.75322	50.65734	9.0		50.657340855492755	12.753215828560316
1	891e349a6d7ffff	h3place				12.75279	50.72313	9.0		50.72312541948299	12.752792266959283
2	891e34894b7ffff	h3place				12.8761	50.53873	9.0		50.538732532636175	12.876096608977972
3	891e34d4c8fffff	h3place				12.77691	50.5474	9.0		50.54740293530742	12.776911336291562
4	891f1a6c993ffff	h3place				12.69437	50.6534	9.0		50.653401660771685	12.694366951369462
5	891e34d54abffff	h3place				12.63171	50.51736	9.0		50.51736458412627	12.631709372436154
6	891e34d7463ffff	h3place				12.60613	50.55875	9.0		50.55874757308059	12.606131223626248
7	891e34d54d7ffff	h3place				12.61438	50.51873	9.0		50.51872630042345	12.614377709880033
8	891e34d5a9bffff	h3place				12.70658	50.47419	9.0		50.474189490854975	12.70657966632588
9	891e34d4d4fffff	h3place				12.80487	50.53657	9.0		50.53657430842193	12.804865358808296
10	891e349b5b7ffff	h3place				12.75893	50.70835	9.0		50.70835251888167	12.758931318221913
11	891e349840fffff	h3place				12.8029	50.68343	9.0		50.683431067590924	12.802896022408508
12	891e3498237ffff	h3place				12.8178	50.6515	9.0		50.65149869998287	12.817801759215646
13	891f1a6cd27ffff	h3place				12.69886	50.65877	9.0		50.65876796005526	12.698856632934456
14	891e348b1d3ffff	h3place				12.88084	50.57202	9.0		50.57201711205199	12.880844420486042
15	891e34d6933ffff	h3place				12.81857	50.5806	9.0		50.58059514700898	12.818569131051927
16	891e349b16bffff	h3place				12.7667	50.67343	9.0		50.67343250808298	12.766704396885261
17	891e34d721bffff	h3place				12.6011	50.53051	9.0		50.53050817795031	12.601098949586905
18	891e34d491bffff	h3place				12.82527	50.52778	9.0		50.527775199906905	12.825265500577384
19	891e34d646bffff	h3place				12.66952	50.59599	9.0		50.59599382480251	12.669522316255465
20	891e34d6693ffff	h3place				12.64727	50.59703	9.0		50.59702606635959	12.647271249990057
21	891e34d44dbffff	h3place				12.67284	50.55566	9.0		50.5556550029322	12.672843207881437
22	891e349a253ffff	h3place				12.76957	50.69894	9.0		50.69893744081034	12.769566781981844
23	891f1a6d977ffff	h3place				12.63972	50.59905	9.0		50.599049290729866	12.639715360400569
24	891f1a65bc3ffff	h3place				12.71618	50.71815	9.0		50.71814807243618	12.716181460978246
25	891e34d4d6bffff	h3place				12.81241	50.53454	9.0		50.534537073524184	12.812414574384835
26	891e34895c3ffff	h3place				12.8863	50.53433	9.0		50.53432700606551	12.88629573435407
27	891e34d6a0bffff	h3place				12.7565	50.55619	9.0		50.55618959545921	12.756503251872235
28	891e349a22bffff	h3place				12.79186	50.69789	9.0		50.697887478223514	12.791858671601029
