index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
0	located_on_h3_cell	https://www.openstreetmap.org/way/263819187	osmplace	891e34985a7ffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
1	located_on_h3_cell	https://www.openstreetmap.org/way/267288138	osmplace	891e34d594fffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
2	located_on_h3_cell	https://www.openstreetmap.org/way/239278628	osmplace	891e34d46afffff	h3place	False		6.0	Lifestyle_POS_amenity around (Aue) radius=15.0
3	located_on_h3_cell	891e34d64a7ffff	h3place	https://www.openstreetmap.org/way/483703120	osmplace	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
4	hasOSMTag	platform	osmtag	891e34d609bffff	h3place	False	1.0		Transport_POS_amenity around (Aue) radius=15.0
5	located_on_h3_cell	https://www.openstreetmap.org/relation/8250756	osmplace	891e349a2abffff	h3place	False		6.0	Services_POS_amenity around (Aue) radius=15.0
6	located_on_h3_cell	https://www.openstreetmap.org/way/217542409	osmplace	891e34d5647ffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
7	located_on_h3_cell	https://www.openstreetmap.org/way/317406376	osmplace	891f1a6d93bffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
8	located_on_h3_cell	891e34d2a67ffff	h3place	https://www.openstreetmap.org/way/372821582	osmplace	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
9	located_on_h3_cell	https://www.openstreetmap.org/way/56658903	osmplace	891e3498427ffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
10	located_on_h3_cell	https://www.openstreetmap.org/way/482704840	osmplace	891e34d5897ffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
11	hasOSMTag	playground	osmtag	891e3499c73ffff	h3place	False	1.0		Leisure_POS_amenity around (Aue) radius=15.0
12	hasOSMTag	891e348b56bffff	h3place	stop_area	osmtag	False	1.0		Transport_POS_amenity around (Aue) radius=15.0
13	hasOSMTag	891e34d6907ffff	h3place	park	osmtag	False	1.0		Leisure_POS_amenity around (Aue) radius=15.0
14	located_on_h3_cell	https://www.openstreetmap.org/way/225036029	osmplace	891e34d4dcbffff	h3place	False		6.0	Lifestyle_POS_amenity around (Aue) radius=15.0
15	hasOSMTag	playground	osmtag	891e34d614bffff	h3place	False	1.0		Leisure_POS_amenity around (Aue) radius=15.0
16	located_on_h3_cell	https://www.openstreetmap.org/node/565351404	osmplace	891f1a6d93bffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
17	hasOSMTag	platform	osmtag	891e34d6443ffff	h3place	False	1.0		Transport_POS_amenity around (Aue) radius=15.0
18	located_on_h3_cell	https://www.openstreetmap.org/relation/11045028	osmplace	891e34d2a6fffff	h3place	False		6.0	Transport_POS_amenity around (Aue) radius=15.0
19	located_on_h3_cell	https://www.openstreetmap.org/way/292867125	osmplace	891e349a33bffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
20	hasOSMTag	pub	osmtag	891e34d608bffff	h3place	False	1.0		Lifestyle_POS_amenity around (Aue) radius=15.0
21	located_on_h3_cell	https://www.openstreetmap.org/node/4353825365	osmplace	891e34d4c77ffff	h3place	False		6.0	Services_POS_amenity around (Aue) radius=15.0
22	hasOSMTag	891e34d4ea7ffff	h3place	soccer	osmtag	False	1.0		Leisure_POS_amenity around (Aue) radius=15.0
23	located_on_h3_cell	https://www.openstreetmap.org/way/216538295	osmplace	891e349b487ffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
24	located_on_h3_cell	891f1a6580bffff	h3place	https://www.openstreetmap.org/way/553965607	osmplace	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
25	hasOSMTag	running	osmtag	891e349a213ffff	h3place	False	1.0		Leisure_POS_amenity around (Aue) radius=15.0
26	hasOSMTag	playground	osmtag	891e34d46b7ffff	h3place	False	1.0		Leisure_POS_amenity around (Aue) radius=15.0
27	located_on_h3_cell	https://www.openstreetmap.org/relation/11032853	osmplace	891e34894d3ffff	h3place	False		6.0	Transport_POS_amenity around (Aue) radius=15.0
28	located_on_h3_cell	https://www.openstreetmap.org/node/258801653	osmplace	891e34d4d53ffff	h3place	False		6.0	Transport_POS_amenity around (Aue) radius=15.0
