index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
0	located_on_h3_cell	https://www.openstreetmap.org/way/361274562	osmplace	891e349210fffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
1	located_on_h3_cell	https://www.openstreetmap.org/way/46372124	osmplace	891e3490193ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
2	located_on_h3_cell	https://www.openstreetmap.org/way/27678373	osmplace	891f1a2dbcbffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
3	located_on_h3_cell	891e349256bffff	h3place	https://www.openstreetmap.org/way/334610409	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
4	located_on_h3_cell	https://www.openstreetmap.org/way/505376420	osmplace	891f1a2db4fffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
5	located_on_h3_cell	https://www.openstreetmap.org/way/911450322	osmplace	891f1a2d543ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
6	located_on_h3_cell	https://www.openstreetmap.org/way/366784282	osmplace	891e3492343ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
7	located_on_h3_cell	https://www.openstreetmap.org/way/259089394	osmplace	891e34901cbffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
8	hasOSMTag	891e34923bbffff	h3place	fast_food	osmtag	False	1.0		Lifestyle_NEG_shop around (Chemnitz) radius=15.0
9	located_on_h3_cell	https://www.openstreetmap.org/way/498067230	osmplace	891e3492373ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
10	located_on_h3_cell	https://www.openstreetmap.org/way/487492560	osmplace	891e349350bffff	h3place	False		6.0	Environment_NEG_geological around (Chemnitz) radius=15.0
11	hasOSMTag	891f1a2d3c3ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
12	located_on_h3_cell	https://www.openstreetmap.org/way/314840929	osmplace	891f1a2d553ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
13	located_on_h3_cell	https://www.openstreetmap.org/way/261269994	osmplace	891e3490137ffff	h3place	False		6.0	Environment_NEG_geological around (Chemnitz) radius=15.0
14	located_on_h3_cell	https://www.openstreetmap.org/way/334033871	osmplace	891e3492303ffff	h3place	False		6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0
15	located_on_h3_cell	https://www.openstreetmap.org/way/273525370	osmplace	891e349234bffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
16	located_on_h3_cell	https://www.openstreetmap.org/way/223146802	osmplace	891e3491913ffff	h3place	False		6.0	Environment_NEG_geological around (Chemnitz) radius=15.0
17	hasOSMTag	891e3482483ffff	h3place	primary	osmtag	False	2.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
18	located_on_h3_cell	https://www.openstreetmap.org/way/334603512	osmplace	891e3490503ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
19	located_on_h3_cell	https://www.openstreetmap.org/way/20890038	osmplace	891e349190bffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
20	located_on_h3_cell	https://www.openstreetmap.org/way/259120846	osmplace	891e349226fffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
21	located_on_h3_cell	https://www.openstreetmap.org/way/258909091	osmplace	891e349236fffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
22	located_on_h3_cell	https://www.openstreetmap.org/way/3957230	osmplace	891e34905d3ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
23	located_on_h3_cell	https://www.openstreetmap.org/way/362541728	osmplace	891e3482687ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
24	located_on_h3_cell	https://www.openstreetmap.org/way/247079711	osmplace	891e3490eb3ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
25	located_on_h3_cell	https://www.openstreetmap.org/way/301838889	osmplace	891f1a66da7ffff	h3place	False		6.0	Environment_NEG_geological around (Chemnitz) radius=15.0
26	located_on_h3_cell	891e349664bffff	h3place	https://www.openstreetmap.org/way/362244196	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
27	hasOSMTag	891f1a28d4bffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Chemnitz) radius=15.0
28	located_on_h3_cell	https://www.openstreetmap.org/way/361274554	osmplace	891f1a2d277ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
29	located_on_h3_cell	https://www.openstreetmap.org/way/531300349	osmplace	891f1a28cd7ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
30	located_on_h3_cell	https://www.openstreetmap.org/way/256317337	osmplace	891e34931afffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
31	located_on_h3_cell	https://www.openstreetmap.org/way/916580558	osmplace	891f1a2d1bbffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
32	located_on_h3_cell	https://www.openstreetmap.org/way/247180261	osmplace	891e349012bffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
33	located_on_h3_cell	https://www.openstreetmap.org/way/361274563	osmplace	891f1a2d3c3ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
34	located_on_h3_cell	https://www.openstreetmap.org/way/139109981	osmplace	891e3492ccbffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
35	located_on_h3_cell	891e3497437ffff	h3place	https://www.openstreetmap.org/way/130539220	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
36	located_on_h3_cell	https://www.openstreetmap.org/way/44675138	osmplace	891e34923b7ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
37	located_on_h3_cell	https://www.openstreetmap.org/way/247079708	osmplace	891e3490e2fffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
38	located_on_h3_cell	891e34904b3ffff	h3place	https://www.openstreetmap.org/way/288063537	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
39	located_on_h3_cell	https://www.openstreetmap.org/way/27615070	osmplace	891f1a2dabbffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
40	located_on_h3_cell	https://www.openstreetmap.org/way/698871356	osmplace	891e3491967ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
41	located_on_h3_cell	https://www.openstreetmap.org/way/223146803	osmplace	891e349198bffff	h3place	False		6.0	Environment_NEG_geological around (Chemnitz) radius=15.0
42	located_on_h3_cell	https://www.openstreetmap.org/way/263989046	osmplace	891e3490417ffff	h3place	False		6.0	Environment_NEG_geological around (Chemnitz) radius=15.0
43	located_on_h3_cell	https://www.openstreetmap.org/way/218230811	osmplace	891e348269bffff	h3place	False		6.0	Environment_NEG_geological around (Chemnitz) radius=15.0
44	located_on_h3_cell	https://www.openstreetmap.org/way/289977913	osmplace	891e34920cbffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
45	located_on_h3_cell	https://www.openstreetmap.org/way/229131478	osmplace	891e34974b3ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
46	located_on_h3_cell	https://www.openstreetmap.org/way/695836949	osmplace	891e3490e53ffff	h3place	False		6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0
47	located_on_h3_cell	https://www.openstreetmap.org/way/361290864	osmplace	891f1a2dac7ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
48	located_on_h3_cell	https://www.openstreetmap.org/way/505376382	osmplace	891e34974a7ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
49	located_on_h3_cell	https://www.openstreetmap.org/way/505376426	osmplace	891f1a2db4fffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
50	located_on_h3_cell	891f1a29e57ffff	h3place	https://www.openstreetmap.org/way/256982941	osmplace	False		6.0	Environment_NEG_geological around (Chemnitz) radius=15.0
51	located_on_h3_cell	891e34931a7ffff	h3place	https://www.openstreetmap.org/way/263989041	osmplace	False		6.0	Environment_NEG_geological around (Chemnitz) radius=15.0
52	located_on_h3_cell	https://www.openstreetmap.org/way/732832546	osmplace	891e349210fffff	h3place	False		6.0	Environment_NEG_geological around (Chemnitz) radius=15.0
53	hasOSMTag	891e34909b3ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
54	located_on_h3_cell	https://www.openstreetmap.org/way/243703847	osmplace	891e349234bffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
55	located_on_h3_cell	https://www.openstreetmap.org/way/277999419	osmplace	891e3482427ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
56	located_on_h3_cell	891e34923bbffff	h3place	https://www.openstreetmap.org/way/254830322	osmplace	False		6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0
57	located_on_h3_cell	891e349214fffff	h3place	https://www.openstreetmap.org/way/216942517	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
58	located_on_h3_cell	891e34974afffff	h3place	https://www.openstreetmap.org/way/471136913	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
59	located_on_h3_cell	891e349664bffff	h3place	https://www.openstreetmap.org/way/72453076	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
60	hasOSMTag	891f1a29d03ffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Chemnitz) radius=15.0
61	located_on_h3_cell	https://www.openstreetmap.org/way/257575886	osmplace	891e3490183ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
62	located_on_h3_cell	https://www.openstreetmap.org/way/223025432	osmplace	891e3492347ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
63	located_on_h3_cell	https://www.openstreetmap.org/way/857535889	osmplace	891e34821d7ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
64	located_on_h3_cell	891f1a2c153ffff	h3place	https://www.openstreetmap.org/way/362392676	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
65	located_on_h3_cell	891e349214fffff	h3place	https://www.openstreetmap.org/way/368747894	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
66	located_on_h3_cell	891e3490197ffff	h3place	https://www.openstreetmap.org/way/300213397	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
67	located_on_h3_cell	891f1a2c20fffff	h3place	https://www.openstreetmap.org/way/362392632	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
68	located_on_h3_cell	https://www.openstreetmap.org/way/471136907	osmplace	891f1a2db2bffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
69	hasOSMTag	891e3492637ffff	h3place	industrial	osmtag	False	2.0		Environment_NEG_geological around (Chemnitz) radius=15.0
70	located_on_h3_cell	891e349051bffff	h3place	https://www.openstreetmap.org/node/2776670199	osmplace	False		6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0
71	hasOSMTag	891e34902a7ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
72	located_on_h3_cell	https://www.openstreetmap.org/way/414934558	osmplace	891e349234bffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
73	located_on_h3_cell	https://www.openstreetmap.org/way/878439863	osmplace	891e3491b87ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
74	located_on_h3_cell	https://www.openstreetmap.org/node/5223652929	osmplace	891e34905afffff	h3place	False		6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0
75	hasOSMTag	891e349051bffff	h3place	fast_food	osmtag	False	2.0		Lifestyle_NEG_shop around (Chemnitz) radius=15.0
76	located_on_h3_cell	https://www.openstreetmap.org/way/288063547	osmplace	891e34904b3ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
77	located_on_h3_cell	891e349207bffff	h3place	https://www.openstreetmap.org/way/289982693	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
78	located_on_h3_cell	https://www.openstreetmap.org/way/698787270	osmplace	891e3492693ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
79	located_on_h3_cell	https://www.openstreetmap.org/way/320255878	osmplace	891e34925d3ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
80	located_on_h3_cell	https://www.openstreetmap.org/way/212101239	osmplace	891e349040fffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
81	located_on_h3_cell	https://www.openstreetmap.org/way/361274558	osmplace	891f1a2d223ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
82	located_on_h3_cell	891e3492637ffff	h3place	https://www.openstreetmap.org/way/23304257	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
83	located_on_h3_cell	891e3492e7bffff	h3place	https://www.openstreetmap.org/way/957666667	osmplace	False		6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0
84	located_on_h3_cell	891e3490577ffff	h3place	https://www.openstreetmap.org/way/268629855	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
85	hasOSMTag	891e3492163ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
86	located_on_h3_cell	https://www.openstreetmap.org/way/234017692	osmplace	891e34902b7ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
87	located_on_h3_cell	891e349235bffff	h3place	https://www.openstreetmap.org/way/244633452	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
88	located_on_h3_cell	891e34923b7ffff	h3place	https://www.openstreetmap.org/way/368749553	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
89	located_on_h3_cell	https://www.openstreetmap.org/way/362541726	osmplace	891e3482413ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
90	hasOSMTag	891e3497423ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
91	located_on_h3_cell	891e3482687ffff	h3place	https://www.openstreetmap.org/way/362541728	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
92	located_on_h3_cell	891f1a2a87bffff	h3place	https://www.openstreetmap.org/way/10058885	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
93	located_on_h3_cell	891e349256bffff	h3place	https://www.openstreetmap.org/way/334610410	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
94	located_on_h3_cell	891e34923b7ffff	h3place	https://www.openstreetmap.org/way/225301309	osmplace	False		6.0	Environment_NEG_geological around (Chemnitz) radius=15.0
95	located_on_h3_cell	891e3492a2fffff	h3place	https://www.openstreetmap.org/way/654756082	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
96	located_on_h3_cell	891f1a2d54bffff	h3place	https://www.openstreetmap.org/way/32203682	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
97	hasOSMTag	891f1a2c06fffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
98	hasOSMTag	891e349235bffff	h3place	primary	osmtag	False	3.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
99	located_on_h3_cell	https://www.openstreetmap.org/way/30743107	osmplace	891f1a2daafffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
100	located_on_h3_cell	891f1a2d54bffff	h3place	https://www.openstreetmap.org/way/319360684	osmplace	False		6.0	Environment_NEG_geological around (Chemnitz) radius=15.0
101	located_on_h3_cell	https://www.openstreetmap.org/way/259091490	osmplace	891e3490037ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
102	hasOSMTag	891f1a2a87bffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
103	located_on_h3_cell	https://www.openstreetmap.org/way/263388951	osmplace	891f1a2dc9bffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
104	located_on_h3_cell	891e3492e87ffff	h3place	https://www.openstreetmap.org/node/2420448529	osmplace	False		6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0
105	hasOSMTag	891e349043bffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Chemnitz) radius=15.0
106	located_on_h3_cell	891e3492637ffff	h3place	https://www.openstreetmap.org/way/289976115	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
107	hasOSMTag	891e3490493ffff	h3place	primary	osmtag	False	4.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
108	located_on_h3_cell	https://www.openstreetmap.org/way/289977908	osmplace	891e34920cbffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
109	located_on_h3_cell	891e34929dbffff	h3place	https://www.openstreetmap.org/way/295270431	osmplace	False		6.0	Environment_NEG_geological around (Chemnitz) radius=15.0
110	located_on_h3_cell	891e3490493ffff	h3place	https://www.openstreetmap.org/way/314756316	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
111	located_on_h3_cell	891e349210fffff	h3place	https://www.openstreetmap.org/way/211901691	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
112	located_on_h3_cell	891e34931a7ffff	h3place	https://www.openstreetmap.org/way/256345452	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
113	located_on_h3_cell	https://www.openstreetmap.org/way/471136908	osmplace	891f1a2dbcfffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
114	located_on_h3_cell	891e3492227ffff	h3place	https://www.openstreetmap.org/way/288063538	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
115	located_on_h3_cell	891e349256bffff	h3place	https://www.openstreetmap.org/way/601033592	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
116	located_on_h3_cell	https://www.openstreetmap.org/way/362392659	osmplace	891f1a2c207ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
117	hasOSMTag	891e349664bffff	h3place	primary	osmtag	False	3.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
118	located_on_h3_cell	891e349235bffff	h3place	https://www.openstreetmap.org/way/31012637	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
119	located_on_h3_cell	891e349210fffff	h3place	https://www.openstreetmap.org/way/361274562	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
120	located_on_h3_cell	891e34921b7ffff	h3place	https://www.openstreetmap.org/way/318864918	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
121	located_on_h3_cell	https://www.openstreetmap.org/way/305408256	osmplace	891e34926bbffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
122	located_on_h3_cell	891e34921b7ffff	h3place	https://www.openstreetmap.org/way/139985203	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
