index	Id	v_type	attributes.osmid	attributes.tagvalue	attributes.tagname	Lon	Lat	attributes.resolution	attributes.h3index	lat	lon
0	891e34900cbffff	h3place				12.91461	50.79955	9.0		50.79955278653402	12.914606637658236
1	891f1a2aa6fffff	h3place				12.85494	50.92696	9.0		50.92696002181662	12.854935837779248
2	891f1a2d3cbffff	h3place				12.97795	50.87441	9.0		50.874409944606455	12.977950793489216
3	891f1a2db4fffff	h3place				13.0735	50.8553	9.0		50.85529768052262	13.07349857177704
4	891e3493117ffff	h3place				12.87857	50.81741	9.0		50.81741390954534	12.878572466265249
5	891f1a2d553ffff	h3place				12.97784	50.90722	9.0		50.907222300450684	12.97784375318437
6	891e3492adbffff	h3place				12.96221	50.82287	9.0		50.82286910346906	12.96221499311237
7	891e3491967ffff	h3place				12.99313	50.74396	9.0		50.74395954963657	12.993126764448554
8	891f1a2d413ffff	h3place				12.95281	50.91065	9.0		50.91064716801136	12.952810225675494
9	891e3492547ffff	h3place				12.91926	50.86555	9.0		50.86554584161428	12.91925658922436
10	891f1a2dabbffff	h3place				13.05036	50.86645	9.0		50.86644616878004	13.050357147336937
11	891f1a28827ffff	h3place				12.90395	50.90242	9.0		50.90241582837807	12.9039451458575
12	891e3492053ffff	h3place				12.89584	50.84886	9.0		50.84886262476395	12.89584483783984
13	891e34904dbffff	h3place				12.89333	50.81838	9.0		50.818380842447624	12.893330065709165
14	891e3490463ffff	h3place				12.91381	50.80961	9.0		50.8096107599449	12.91380781511022
15	891e34900d3ffff	h3place				12.91421	50.80458	9.0		50.80458195831144	12.914207254731126
16	891f1a2dcbbffff	h3place				13.04762	50.90162	9.0		50.90162062003008	13.047624456856234
17	891f1a29917ffff	h3place				12.85712	50.86905	9.0		50.8690514168008	12.857120168470496
18	891e3490497ffff	h3place				12.90995	50.82705	9.0		50.82704799633724	12.909949115792474
19	891e349230bffff	h3place				12.92431	50.83304	9.0		50.833038394996464	12.92431207281663
20	891e34931b7ffff	h3place				12.88801	50.82309	9.0		50.82308622616291	12.888009401697625
21	891e34905d3ffff	h3place				12.93003	50.8233	9.0		50.823304165396806	12.930030211022869
22	891e34904d3ffff	h3place				12.89559	50.82106	9.0		50.82105564310407	12.895589385186184
23	891e34920cbffff	h3place				12.89318	50.85121	9.0		50.85121428895254	12.893183483597797
24	891f1a2f06bffff	h3place				12.95349	50.9334	9.0		50.93340140382351	12.953486219201837
25	891e3492693ffff	h3place				12.86777	50.85965	9.0		50.85965045576627	12.867770790199584
26	891f1a2c247ffff	h3place				13.01993	50.90741	9.0		50.90741431301682	13.019929411665181
27	891e349001bffff	h3place				12.92444	50.80019	9.0		50.80019445950805	12.924444051668983
28	891e3490043ffff	h3place				12.91992	50.79484	9.0		50.79484414263446	12.919924259684697
29	891e34923c7ffff	h3place				12.91899	50.83774	9.0		50.837744327859205	12.918991760241257
30	891f1a2c02fffff	h3place				13.05553	50.92737	9.0		50.92736605781308	13.055532151837768
31	891e3492b23ffff	h3place				13.02659	50.82197	9.0		50.82197224727768	13.026594880127782
32	891e3490037ffff	h3place				12.94412	50.80148	9.0		50.80147537641494	12.944120502638185
33	891e34905cbffff	h3place				12.93043	50.81828	9.0		50.81827615051951	12.930428589163201
34	891e349226fffff	h3place				12.89785	50.82373	9.0		50.82373032047009	12.89784889622194
35	891e349217bffff	h3place				12.94054	50.84673	9.0		50.84672673348887	12.940542581977157
36	891e3492e4fffff	h3place				12.95424	50.82993	9.0		50.8299320195467	12.954238146317362
37	891e34972b3ffff	h3place				13.07395	50.81743	9.0		50.81742511756557	13.073949027189439
38	891f1a2db2bffff	h3place				13.09055	50.85891	9.0		50.85891157875531	13.090547104029339
39	891e34900afffff	h3place				12.94146	50.80383	9.0		50.803830180129594	12.941462088659792
40	891f1a2ab1bffff	h3place				12.87876	50.93862	9.0		50.93861628095677	12.878763099537844
41	891e34924a7ffff	h3place				12.90369	50.87463	9.0		50.87462974593067	12.903686273005981
42	891e349239bffff	h3place				12.91859	50.84277	9.0		50.84277078211758	12.918592467751465
43	891f1a28207ffff	h3place				12.78803	50.8973	9.0		50.89730432132181	12.788027859102483
44	891e349198bffff	h3place				12.97985	50.75575	9.0		50.755749668247454	12.979849864634422
45	891e3492047ffff	h3place				12.90343	50.84683	9.0		50.84683261843654	12.903427605938036
46	891e349052bffff	h3place				12.95543	50.81485	9.0		50.81484738158887	12.955428122299883
47	891e34821d7ffff	h3place				13.06236	50.74335	9.0		50.74334998405017	13.062359172595539
