index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
0	located_on_h3_cell	https://www.openstreetmap.org/relation/5456246	osmplace	891e3492e1bffff	h3place	False		6.0	Transport_POS_amenity around (Chemnitz) radius=15.0
1	located_on_h3_cell	https://www.openstreetmap.org/way/653108315	osmplace	891e3492017ffff	h3place	False		6.0	Transport_POS_amenity around (Chemnitz) radius=15.0
2	located_on_h3_cell	https://www.openstreetmap.org/way/539414134	osmplace	891e349231bffff	h3place	False		6.0	Transport_POS_amenity around (Chemnitz) radius=15.0
3	located_on_h3_cell	https://www.openstreetmap.org/way/545750513	osmplace	891e349055bffff	h3place	False		6.0	Transport_POS_amenity around (Chemnitz) radius=15.0
4	located_on_h3_cell	https://www.openstreetmap.org/node/8416544971	osmplace	891f1a2f257ffff	h3place	False		6.0	Transport_POS_amenity around (Chemnitz) radius=15.0
5	located_on_h3_cell	https://www.openstreetmap.org/relation/9807811	osmplace	891e3490c63ffff	h3place	False		6.0	Transport_POS_amenity around (Chemnitz) radius=15.0
6	located_on_h3_cell	https://www.openstreetmap.org/relation/1863310	osmplace	891e349226fffff	h3place	False		6.0	Transport_POS_amenity around (Chemnitz) radius=15.0
7	located_on_h3_cell	https://www.openstreetmap.org/node/1326529788	osmplace	891e3492107ffff	h3place	False		6.0	Transport_POS_amenity around (Chemnitz) radius=15.0
8	located_on_h3_cell	https://www.openstreetmap.org/relation/10083930	osmplace	891f1a66d93ffff	h3place	False		6.0	Transport_POS_amenity around (Chemnitz) radius=15.0
9	located_on_h3_cell	891e349238fffff	h3place	https://www.openstreetmap.org/way/761807998	osmplace	False		6.0	Transport_POS_amenity around (Chemnitz) radius=15.0
10	located_on_h3_cell	https://www.openstreetmap.org/relation/9746030	osmplace	891e34900cbffff	h3place	False		6.0	Transport_POS_amenity around (Chemnitz) radius=15.0
11	located_on_h3_cell	https://www.openstreetmap.org/relation/9526524	osmplace	891f1a29923ffff	h3place	False		6.0	Transport_POS_amenity around (Chemnitz) radius=15.0
12	located_on_h3_cell	https://www.openstreetmap.org/node/8604114048	osmplace	891f1a2830bffff	h3place	False		6.0	Transport_POS_amenity around (Chemnitz) radius=15.0
13	located_on_h3_cell	https://www.openstreetmap.org/node/3372004593	osmplace	891e349318fffff	h3place	False		6.0	Services_POS_amenity around (Chemnitz) radius=15.0
14	located_on_h3_cell	https://www.openstreetmap.org/way/939383887	osmplace	891e34821abffff	h3place	False		6.0	Leisure_POS_amenity around (Chemnitz) radius=15.0
15	located_on_h3_cell	https://www.openstreetmap.org/relation/10005097	osmplace	891f1a28883ffff	h3place	False		6.0	Transport_POS_amenity around (Chemnitz) radius=15.0
16	located_on_h3_cell	https://www.openstreetmap.org/relation/11286656	osmplace	891e3492d8fffff	h3place	False		6.0	Transport_POS_amenity around (Chemnitz) radius=15.0
17	located_on_h3_cell	https://www.openstreetmap.org/way/922006128	osmplace	891e349042fffff	h3place	False		6.0	Transport_POS_amenity around (Chemnitz) radius=15.0
18	located_on_h3_cell	https://www.openstreetmap.org/node/8579106346	osmplace	891e3494647ffff	h3place	False		6.0	Transport_POS_amenity around (Chemnitz) radius=15.0
19	hasOSMTag	891e3492ccbffff	h3place	stop_position	osmtag	False	1.0		Transport_POS_amenity around (Chemnitz) radius=15.0
20	located_on_h3_cell	https://www.openstreetmap.org/way/686150376	osmplace	891f1a2f3b3ffff	h3place	False		6.0	Services_POS_amenity around (Chemnitz) radius=15.0
21	located_on_h3_cell	https://www.openstreetmap.org/node/2252485492	osmplace	891e3492b0bffff	h3place	False		6.0	Transport_POS_amenity around (Chemnitz) radius=15.0
22	located_on_h3_cell	https://www.openstreetmap.org/way/385505177	osmplace	891e3492ac3ffff	h3place	False		6.0	Services_POS_amenity around (Chemnitz) radius=15.0
