index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
0	located_on_h3_cell	https://www.openstreetmap.org/way/361270488	osmplace	891f1a64dc3ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
1	located_on_h3_cell	891e3493623ffff	h3place	https://www.openstreetmap.org/way/424715815	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
2	located_on_h3_cell	891e348324fffff	h3place	https://www.openstreetmap.org/way/776300260	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
3	located_on_h3_cell	https://www.openstreetmap.org/node/339459593	osmplace	891e349310bffff	h3place	False		6.0	Lifestyle_NEG_shop around (Stollberg) radius=15.0
4	located_on_h3_cell	https://www.openstreetmap.org/way/258110141	osmplace	891e34906c3ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
5	hasOSMTag	891e349ad47ffff	h3place	fast_food	osmtag	False	1.0		Lifestyle_NEG_shop around (Stollberg) radius=15.0
6	located_on_h3_cell	https://www.openstreetmap.org/way/279561572	osmplace	891e3493007ffff	h3place	False		6.0	Environment_NEG_geological around (Stollberg) radius=15.0
7	located_on_h3_cell	891e348324fffff	h3place	https://www.openstreetmap.org/way/82449156	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
8	located_on_h3_cell	https://www.openstreetmap.org/way/699703007	osmplace	891e349155bffff	h3place	False		6.0	Environment_NEG_geological around (Stollberg) radius=15.0
9	hasOSMTag	891e348324fffff	h3place	primary	osmtag	False	5.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
10	located_on_h3_cell	891e349310bffff	h3place	https://www.openstreetmap.org/way/256773165	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
11	located_on_h3_cell	https://www.openstreetmap.org/way/257702976	osmplace	891e3490603ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
