index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
0	located_on_h3_cell	https://www.openstreetmap.org/way/105207323	osmplace	891f1a659bbffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
1	located_on_h3_cell	https://www.openstreetmap.org/way/211531237	osmplace	891f1a66aabffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
2	located_on_h3_cell	https://www.openstreetmap.org/way/210697969	osmplace	891f1a66babffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
3	hasOSMTag	stop_area	osmtag	891f1a6457bffff	h3place	False	1.0		Transport_POS_amenity around (Stollberg) radius=15.0
4	located_on_h3_cell	https://www.openstreetmap.org/way/757521275	osmplace	891e3493167ffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
5	located_on_h3_cell	891e349a8dbffff	h3place	https://www.openstreetmap.org/way/263819172	osmplace	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
6	located_on_h3_cell	https://www.openstreetmap.org/relation/9610869	osmplace	891e3490653ffff	h3place	False		6.0	Transport_POS_amenity around (Stollberg) radius=15.0
7	located_on_h3_cell	https://www.openstreetmap.org/way/908467461	osmplace	891e3491803ffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
8	located_on_h3_cell	https://www.openstreetmap.org/way/243940267	osmplace	891e349ab03ffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
9	located_on_h3_cell	https://www.openstreetmap.org/way/497433790	osmplace	891f1a64547ffff	h3place	False		6.0	Lifestyle_POS_amenity around (Stollberg) radius=15.0
10	located_on_h3_cell	https://www.openstreetmap.org/relation/10052450	osmplace	891f1a6457bffff	h3place	False		6.0	Transport_POS_amenity around (Stollberg) radius=15.0
11	located_on_h3_cell	https://www.openstreetmap.org/way/458922556	osmplace	891e34930b3ffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
12	located_on_h3_cell	https://www.openstreetmap.org/way/210730178	osmplace	891e3490603ffff	h3place	False		6.0	Transport_POS_amenity around (Stollberg) radius=15.0
13	located_on_h3_cell	891e3491e0fffff	h3place	https://www.openstreetmap.org/relation/3552321	osmplace	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
14	located_on_h3_cell	https://www.openstreetmap.org/way/367698033	osmplace	891f1a65d6fffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
