index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
0	located_on_h3_cell	https://www.openstreetmap.org/way/457746173	osmplace	891f03b001bffff	h3place	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
1	located_on_h3_cell	https://www.openstreetmap.org/way/439464121	osmplace	891f0149a73ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
2	located_on_h3_cell	https://www.openstreetmap.org/way/439464484	osmplace	891f0149843ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
3	located_on_h3_cell	https://www.openstreetmap.org/way/667034921	osmplace	891f03b0c53ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
4	located_on_h3_cell	https://www.openstreetmap.org/way/393367685	osmplace	891f03b3363ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
5	hasOSMTag	891f038499bffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Stralsund) radius=15.0
6	located_on_h3_cell	https://www.openstreetmap.org/way/51849880	osmplace	891f0386a13ffff	h3place	False		6.0	Lifestyle_NEG_shop around (Stralsund) radius=15.0
7	hasOSMTag	891f03b1373ffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Stralsund) radius=15.0
8	hasOSMTag	891f0386a17ffff	h3place	primary	osmtag	False	4.0		Transport_NEG_aeroway around (Stralsund) radius=15.0
9	located_on_h3_cell	https://www.openstreetmap.org/way/609473780	osmplace	891f03ba487ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
10	located_on_h3_cell	https://www.openstreetmap.org/way/439464487	osmplace	891f0149ab3ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
11	located_on_h3_cell	891f0386a07ffff	h3place	https://www.openstreetmap.org/way/312929955	osmplace	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
12	located_on_h3_cell	891f03b332fffff	h3place	https://www.openstreetmap.org/way/308988461	osmplace	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
13	located_on_h3_cell	https://www.openstreetmap.org/way/439463822	osmplace	891f03869afffff	h3place	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
14	hasOSMTag	891f03b332fffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Stralsund) radius=15.0
15	hasOSMTag	891f03b06abffff	h3place	primary	osmtag	False	2.0		Transport_NEG_aeroway around (Stralsund) radius=15.0
16	located_on_h3_cell	https://www.openstreetmap.org/way/609470591	osmplace	891f03ba01bffff	h3place	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
17	located_on_h3_cell	https://www.openstreetmap.org/way/439462765	osmplace	891f03b36dbffff	h3place	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
18	located_on_h3_cell	891f0149a73ffff	h3place	https://www.openstreetmap.org/way/439464116	osmplace	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
19	located_on_h3_cell	https://www.openstreetmap.org/way/318120155	osmplace	891f0149d5bffff	h3place	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
20	located_on_h3_cell	891f0386b33ffff	h3place	https://www.openstreetmap.org/way/439458114	osmplace	False		6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0
