index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
0	hasOSMTag	891f03868c3ffff	h3place	garden	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
1	hasOSMTag	beachvolleyball	osmtag	891f03b36abffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
2	located_on_h3_cell	891f03948a7ffff	h3place	https://www.openstreetmap.org/way/954618314	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
3	located_on_h3_cell	891f0386807ffff	h3place	https://www.openstreetmap.org/way/242403099	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
4	located_on_h3_cell	891f0387063ffff	h3place	https://www.openstreetmap.org/node/8688213824	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
5	located_on_h3_cell	https://www.openstreetmap.org/way/379721973	osmplace	891f038492bffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
6	located_on_h3_cell	891f0387063ffff	h3place	https://www.openstreetmap.org/way/937784418	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
7	hasOSMTag	pitch	osmtag	891f03876abffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
8	located_on_h3_cell	891f038492bffff	h3place	https://www.openstreetmap.org/way/827873646	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
9	hasOSMTag	891f0387063ffff	h3place	platform	osmtag	False		Transport_POS_amenity around (Stralsund) radius=15.0	2.0
10	hasOSMTag	golf	osmtag	891f0386ea7ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
11	located_on_h3_cell	891f0386823ffff	h3place	https://www.openstreetmap.org/way/242406851	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
12	hasOSMTag	pitch	osmtag	891f0386163ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
13	located_on_h3_cell	https://www.openstreetmap.org/way/379722024	osmplace	891f0384907ffff	h3place	False	6.0	Services_POS_amenity around (Stralsund) radius=15.0	
14	hasOSMTag	restaurant	osmtag	891f0386383ffff	h3place	False		Lifestyle_POS_amenity around (Stralsund) radius=15.0	1.0
15	located_on_h3_cell	891f0386807ffff	h3place	https://www.openstreetmap.org/way/242147395	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
16	hasOSMTag	891f0386817ffff	h3place	pitch	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	5.0
17	located_on_h3_cell	891f038492bffff	h3place	https://www.openstreetmap.org/way/827873645	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
