index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
0	located_on_h3_cell	https://www.openstreetmap.org/way/750724789	osmplace	891f02b8507ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
1	located_on_h3_cell	https://www.openstreetmap.org/way/316094135	osmplace	891f02b086bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
2	located_on_h3_cell	https://www.openstreetmap.org/way/498984670	osmplace	891f02a02bbffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
3	located_on_h3_cell	https://www.openstreetmap.org/way/350785441	osmplace	891f02a101bffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
4	located_on_h3_cell	891f02b92b7ffff	h3place	https://www.openstreetmap.org/way/392033982	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
5	located_on_h3_cell	https://www.openstreetmap.org/node/386110984	osmplace	891f02bac37ffff	h3place	False		6.0	Lifestyle_NEG_shop around (Wismar) radius=15.0
6	located_on_h3_cell	https://www.openstreetmap.org/way/321349792	osmplace	891f02b8543ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
7	hasOSMTag	891f02b9a6bffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
8	located_on_h3_cell	891f02b8093ffff	h3place	https://www.openstreetmap.org/way/338042399	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
9	located_on_h3_cell	https://www.openstreetmap.org/way/363084437	osmplace	891f02b0887ffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
10	located_on_h3_cell	891f02b1bcbffff	h3place	https://www.openstreetmap.org/way/551647223	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
11	located_on_h3_cell	891f02a124bffff	h3place	https://www.openstreetmap.org/way/209412615	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
12	located_on_h3_cell	https://www.openstreetmap.org/way/316091174	osmplace	891f02b1a0fffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
13	hasOSMTag	891f02b184bffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
