index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
0	located_on_h3_cell	891f02b34dbffff	h3place	https://www.openstreetmap.org/way/881148374	osmplace	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
1	located_on_h3_cell	891f02b118fffff	h3place	https://www.openstreetmap.org/relation/11980984	osmplace	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
2	hasOSMTag	891f02b0e57ffff	h3place	castle	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
3	located_on_h3_cell	891f02bac47ffff	h3place	https://www.openstreetmap.org/relation/11935435	osmplace	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
4	hasOSMTag	891f02bac47ffff	h3place	track	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
5	located_on_h3_cell	891f0285da3ffff	h3place	https://www.openstreetmap.org/way/879991938	osmplace	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
6	located_on_h3_cell	891f02b8db7ffff	h3place	https://www.openstreetmap.org/way/454567562	osmplace	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
7	hasOSMTag	891f02b8db7ffff	h3place	playground	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
8	hasOSMTag	891f02869bbffff	h3place	playground	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
9	hasOSMTag	891f02b8cd3ffff	h3place	restaurant	osmtag	False	1.0		Lifestyle_POS_amenity around (Wismar) radius=15.0
10	located_on_h3_cell	https://www.openstreetmap.org/way/593432653	osmplace	891f02ba513ffff	h3place	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
11	hasOSMTag	891f02b110bffff	h3place	platform	osmtag	False	2.0		Transport_POS_amenity around (Wismar) radius=15.0
12	located_on_h3_cell	891f02bacbbffff	h3place	https://www.openstreetmap.org/node/4336703366	osmplace	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
13	hasOSMTag	891f02b340fffff	h3place	platform	osmtag	False	2.0		Transport_POS_amenity around (Wismar) radius=15.0
14	located_on_h3_cell	891f02b988fffff	h3place	https://www.openstreetmap.org/relation/11979318	osmplace	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
15	hasOSMTag	891f02bac2bffff	h3place	park	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
16	hasOSMTag	891f0284b9bffff	h3place	school	osmtag	False	1.0		Services_POS_amenity around (Wismar) radius=15.0
17	located_on_h3_cell	891f028e917ffff	h3place	https://www.openstreetmap.org/way/877647070	osmplace	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
18	located_on_h3_cell	891f02ba277ffff	h3place	https://www.openstreetmap.org/way/475607678	osmplace	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
19	hasOSMTag	891f02b1977ffff	h3place	pitch	osmtag	False	3.0		Leisure_POS_amenity around (Wismar) radius=15.0
20	hasOSMTag	891f0285da3ffff	h3place	platform	osmtag	False	1.0		Transport_POS_amenity around (Wismar) radius=15.0
21	hasOSMTag	891f02badc3ffff	h3place	kindergarten	osmtag	False	1.0		Services_POS_amenity around (Wismar) radius=15.0
22	hasOSMTag	891f02ba55bffff	h3place	tennis	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
23	hasOSMTag	891f02bac87ffff	h3place	building	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
24	hasOSMTag	891f02bac43ffff	h3place	track	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
25	hasOSMTag	891f02aacd3ffff	h3place	stop_area	osmtag	False	1.0		Transport_POS_amenity around (Wismar) radius=15.0
26	located_on_h3_cell	891f02b0607ffff	h3place	https://www.openstreetmap.org/relation/11980986	osmplace	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
27	hasOSMTag	891f02bac43ffff	h3place	pitch	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
28	hasOSMTag	891f0049b2fffff	h3place	soccer	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
29	located_on_h3_cell	891f02b342fffff	h3place	https://www.openstreetmap.org/way/881148369	osmplace	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
30	hasOSMTag	891f02842a7ffff	h3place	motocross	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
31	located_on_h3_cell	891f02843c3ffff	h3place	https://www.openstreetmap.org/way/702317155	osmplace	False		6.0	Lifestyle_POS_amenity around (Wismar) radius=15.0
32	located_on_h3_cell	https://www.openstreetmap.org/way/362025432	osmplace	891f02b09d3ffff	h3place	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
33	located_on_h3_cell	891f02b1977ffff	h3place	https://www.openstreetmap.org/way/401932982	osmplace	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
