index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
0	located_on_h3_cell	https://www.openstreetmap.org/way/415054477	osmplace	891f1a61bb7ffff	h3place	False		6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0
1	located_on_h3_cell	https://www.openstreetmap.org/way/616309016	osmplace	891f1a6246bffff	h3place	False		6.0	Environment_NEG_geological around (Zwickau) radius=15.0
2	located_on_h3_cell	891f1a78d3bffff	h3place	https://www.openstreetmap.org/way/782189488	osmplace	False		6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0
3	hasOSMTag	casino	osmtag	891f1a61837ffff	h3place	False	1.0		Services_NEG_amenity around (Zwickau) radius=15.0
4	located_on_h3_cell	https://www.openstreetmap.org/way/584870095	osmplace	891f1a61993ffff	h3place	False		6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0
5	located_on_h3_cell	https://www.openstreetmap.org/way/356045567	osmplace	891f1a61887ffff	h3place	False		6.0	Environment_NEG_geological around (Zwickau) radius=15.0
6	located_on_h3_cell	https://www.openstreetmap.org/way/312419500	osmplace	891f1a6e5d3ffff	h3place	False		6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0
7	located_on_h3_cell	https://www.openstreetmap.org/way/294208850	osmplace	891f1a6d067ffff	h3place	False		6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0
8	located_on_h3_cell	https://www.openstreetmap.org/way/197815659	osmplace	891f1a68d63ffff	h3place	False		6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0
9	located_on_h3_cell	https://www.openstreetmap.org/way/14689119	osmplace	891f1a62a47ffff	h3place	False		6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0
10	located_on_h3_cell	891f1a61d6bffff	h3place	https://www.openstreetmap.org/way/362456918	osmplace	False		6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0
11	located_on_h3_cell	https://www.openstreetmap.org/way/382950408	osmplace	891f1a61993ffff	h3place	False		6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0
12	located_on_h3_cell	https://www.openstreetmap.org/way/420293729	osmplace	891f1a61b93ffff	h3place	False		6.0	Environment_NEG_geological around (Zwickau) radius=15.0
13	located_on_h3_cell	891f1a60e6bffff	h3place	https://www.openstreetmap.org/way/837480651	osmplace	False		6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0
14	located_on_h3_cell	https://www.openstreetmap.org/way/245358947	osmplace	891f1a62283ffff	h3place	False		6.0	Environment_NEG_geological around (Zwickau) radius=15.0
15	located_on_h3_cell	891f1a75e03ffff	h3place	https://www.openstreetmap.org/way/320088771	osmplace	False		6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0
16	hasOSMTag	industrial	osmtag	891f1a674d7ffff	h3place	False	1.0		Environment_NEG_geological around (Zwickau) radius=15.0
17	hasOSMTag	industrial	osmtag	891f1a6016bffff	h3place	False	1.0		Environment_NEG_geological around (Zwickau) radius=15.0
18	located_on_h3_cell	https://www.openstreetmap.org/way/571478649	osmplace	891f1a6a96fffff	h3place	False		6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0
19	hasOSMTag	891f1a61913ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Zwickau) radius=15.0
