	index	Id	v_type	attributes.osmid	attributes.tagvalue	attributes.tagname	Lon_x	Lat_x	attributes.resolution	attributes.h3index	lat	lon	Lat_y	Lon_y	Population	h3index	res	source	t	factID
98	0	891fad484cbffff	h3place				10.02911	50.59233	9.0		50.59233346437414	10.029114695467994	50.59236111115158	10.029861111119134	1.5916491837771316	891fad484cbffff	9	data4good.population	2019	demographics.population
125	3	891fa8b308bffff	h3place				10.10342	50.48015	9.0		50.48015421428984	10.103417577231198	50.47875000004038	10.103194444452528	1.004830082656326	891fa8b308bffff	9	data4good.population	2019	demographics.population
199	4	891fad4eb6fffff	h3place				10.38803	50.61421	9.0		50.61420544817032	10.38802820146818	50.61375000004049	10.386250000008308	1.6851729299366347	891fad4eb6fffff	9	data4good.population	2019	demographics.population
298	5	891fa8b6483ffff	h3place				10.38679	50.56099	9.0		50.56099297424043	10.386791727947186	50.56152777781823	10.386250000008308	3.5366886390957952	891fa8b6483ffff	9	data4good.population	2019	demographics.population
322	6	891fad4ecb7ffff	h3place				10.35536	50.66441	9.0		50.664407009135815	10.355362570968119	50.66486111115164	10.357638888897174	2.020251514002115	891fad4ecb7ffff	9	data4good.population	2019	demographics.population
326	7	891fa8b308fffff	h3place				10.10824	50.48059	9.0		50.4805884660655	10.108240477801541	50.48013888892927	10.105972222230308	1.004830082656326	891fa8b308fffff	9	data4good.population	2019	demographics.population
340	8	891fad4a843ffff	h3place				10.11699	50.61291	9.0		50.612906536814336	10.116988135609997	50.614027777818265	10.11791666667476	5.887328607896226	891fad4a843ffff	9	data4good.population	2019	demographics.population
398	9	891fad4cb77ffff	h3place				10.41041	50.56812	9.0		50.568116669857	10.4104051767382	50.568194444484895	10.410416666674994	3.5366886390957952	891fad4cb77ffff	9	data4good.population	2019	demographics.population
406	10	891fa8b04abffff	h3place				10.18331	50.48479	9.0		50.484789250318954	10.183310617807386	50.48375000004038	10.184305555563702	1.2075445261301274	891fa8b04abffff	9	data4good.population	2019	demographics.population
514	11	891fa8b0163ffff	h3place				10.23237	50.46131	9.0		50.461306502297674	10.232368219639568	50.46236111115148	10.234305555563742	1.1159441358328408	891fa8b0163ffff	9	data4good.population	2019	demographics.population
634	12	891fad4c32fffff	h3place				10.33342	50.57907	9.0		50.57907255682745	10.333420610591485	50.57763888892935	10.334027777786044	3.5366886390957952	891fad4c32fffff	9	data4good.population	2019	demographics.population
828	19	891fad4a98bffff	h3place				10.15447	50.62638	9.0		50.62637873995814	10.154473019962994	50.6262500000405	10.153750000008122	0.9772383940481996	891fad4a98bffff	9	data4good.population	2019	demographics.population
888	0	891fa8b636bffff	h3place				10.42906	50.51154	9.0		50.51154148759209	10.429060075730089	50.51291666670708	10.428750000008344	0.967847013145951	891fa8b636bffff	9	data4good.population	2019	demographics.population
1104	1	891fad4cb2bffff	h3place				10.41524	50.56854	9.0		50.56853901676398	10.415243033234885	50.56902777781823	10.416250000008333	3.5366886390957952	891fad4cb2bffff	9	data4good.population	2019	demographics.population
1133	16	891fa8b6417ffff	h3place				10.3922	50.55641	9.0		50.55640675808672	10.392201320739746	50.557083333373775	10.389861111119425	3.5366886390957952	891fa8b6417ffff	9	data4good.population	2019	demographics.population
1233	17	891fa8b0433ffff	h3place				10.18602	50.4825	9.0		50.48249912428784	10.186016577935714	50.48180555559594	10.188194444452597	1.2075445261301274	891fa8b0433ffff	9	data4good.population	2019	demographics.population
1287	19	891fa8b08c3ffff	h3place				10.26943	50.457	9.0		50.456997344980394	10.269433457961744	50.45763888892925	10.268750000008216	1.2967513838583256	891fa8b08c3ffff	9	data4good.population	2019	demographics.population
1338	21	891fad4ee0fffff	h3place				10.33191	50.63455	9.0		50.634554146062065	10.331907804935078	50.63402777781828	10.333750000008266	0.9987194886679251	891fad4ee0fffff	9	data4good.population	2019	demographics.population
1340	23	891fad486b3ffff	h3place				10.03514	50.58277	9.0		50.582768586210044	10.035138392796107	50.58263888892935	10.033472222230248	1.5916491837771316	891fad486b3ffff	9	data4good.population	2019	demographics.population
1344	24	891fad41a53ffff	h3place				10.16296	50.63725	9.0		50.63724536277363	10.162963746264317	50.63680555559606	10.162083333341462	0.9772383940481996	891fad41a53ffff	9	data4good.population	2019	demographics.population
1345	25	891fad4834bffff	h3place				10.07039	50.55309	9.0		50.55308813556181	10.070391629707144	50.55458333337378	10.0706944444525	13.51499928738336	891fad4834bffff	9	data4good.population	2019	demographics.population
1443	26	891fad4cbafffff	h3place				10.41681	50.57626	9.0		50.57626351437695	10.41680510783226	50.57708333337379	10.417916666675	3.5366886390957952	891fad4cbafffff	9	data4good.population	2019	demographics.population
1581	426	891fa8b042bffff	h3place				10.1866	50.47749	9.0		50.477487491541275	10.186602922244521	50.47736111115149	10.185694444452592	1.2075445261301274	891fa8b042bffff	9	data4good.population	2019	demographics.population
1735	427	891fa8b22b7ffff	h3place				10.1686	50.50626	9.0		50.50625706588151	10.168603313157353	50.50541666670707	10.167083333341466	2.113882866535031	891fa8b22b7ffff	9	data4good.population	2019	demographics.population
1814	31	891fad4d41bffff	h3place				10.21198	50.57338	9.0		50.57337750748457	10.211980454294737	50.5731944444849	10.211805555563725	1.0258616639570262	891fad4d41bffff	9	data4good.population	2019	demographics.population
1852	32	891fad4c903ffff	h3place				10.41993	50.59171	9.0		50.59171011533987	10.419930322700884	50.59152777781825	10.42069444445278	3.5366886390957952	891fad4c903ffff	9	data4good.population	2019	demographics.population
1901	33	891fad4d5afffff	h3place				10.26244	50.58039	9.0		50.58038993362542	10.26243903114193	50.58041666670713	10.263194444452656	1.0258616639570262	891fad4d5afffff	9	data4good.population	2019	demographics.population
1984	35	891fad4cc77ffff	h3place				10.37252	50.60021	9.0		50.60020728869511	10.372524841353943	50.59986111115159	10.372361111119409	0.9501030550824334	891fad4cc77ffff	9	data4good.population	2019	demographics.population
1998	36	891fa8b26b7ffff	h3place				10.14965	50.52227	9.0		50.52227461551879	10.149649835872749	50.52180555559597	10.151527777785898	2.113882866535031	891fa8b26b7ffff	9	data4good.population	2019	demographics.population
